CONCEPTICON_ID	MRC_WORD	AGE_OF_ACQUISITION	CONCRETENESS	FAMILIARITY	IMAGABILITY	KUCERA_FRANCIS_FREQUENCY
2503	LAUNDER			348	432	
2504	DIFFERENT			558	329	312
2505	BEDROOM	206	615	646	629	52
2506	LOOSE			594	397	53
2509	EXCHANGE	443	356	504	394	70
2511	GIBBON					2
2512	CHICK					3
2514	SPOUSE					3
2518	HEARING		369	576	401	76
2519	SEEING					86
2520	SMELLING					5
2521	FEELING	339	262	612	370	172
2522	SCREAMING			519	519	17
2523	HOWLING					3
2524	JOY	342	300	545	533	40
2525	LABOUR	506	406	559	424	4
2526	POWER		325	556	450	342
2527	ABILITY	453	273	563	327	74
2528	SIZE		354	566	415	138
2529	BLESSED					13
2530	SMART		304	602	396	21
2531	BROAD		399	523	463	84
2532	TORNADO		644	484	591	1
2533	WATERSIDE					1
2534	DEPTH					53
2535	ALTITUDE	534	373	420	472	4
2536	BREADTH					7
2537	LENGTH	322	365	591	395	116
2538	TRENCH					2
2539	PIT	314	593	493	589	14
2540	LIME	378	590	447	563	13
2541	MIRACLE		282	421	367	16
2542	HERB		558	514	502	7
2544	SHEPHERD	275	598	435	600	3
2545	HARROW					2
2546	BORDER	417	444	489	453	20
2547	CITY		554	616	605	393
2548	BARREL	319	590	487	602	24
2549	VEHICLE		558	534	593	35
2552	HARNESS	458	563	421	513	10
2553	MISERY	450	297	494	444	15
2554	PRINCE		542	506	606	33
2555	OIL	303	581	548	573	93
2556	OIL	303	581	548	573	93
2558	BREAK		360	529	398	88
2559	FEEL		324	588	363	216
2561	HURT	219	368	579	465	37
2562	SEX	450	512	617	584	84
2566	GELDING					4
2568	BAKER					36
2569	BUTCHER		556	473	596	8
2570	BEEF		637	598	625	32
2571	TRY	229	260	636	318	140
2572	SENSE	336	316	583	368	311
2573	FEELING	339	262	612	370	172
2576	ALREADY					273
2577	YET		249	523	237	419
2578	PENCIL	225	617	598	607	34
2580	HELICOPTER					1
2581	OCTOPUS			370		1
2584	BENCH	311	614	488	555	35
2585	RACQUET		513	480	522	1
2588	GLOBE	364	535	477	583	13
2589	WREATH					8
2591	RHINOCEROS			400		3
2595	CACTUS			400		
2597	HARP		591	430	621	1
2599	STETHOSCOPE			333		2
2600	PYRAMID	397	615	386	613	2
2602	FUNNEL					1
2603	ACCORDION		586	394	576	1
2604	NOOSE		542	304	593	3
2605	ASPARAGUS		608	534	590	1
2606	COMPASS					13
2607	TRIPOD		577	363	574	3
2608	SCROLL	458	593	350	572	
2609	SPHINX					1
2610	TRELLIS		574	208	544	
2611	PALETTE	542	565	301	437	5
2613	SKIN		614	591	638	47
2614	SKIN		614	591	638	47
