NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
2250	Pole Star	Pole Star			Natural objects		
2251	polecat, ferret (Mustela putorius)	polecat, ferret (Mustela putorius)			Animals		
2252	police officer	police officer			N/a		
2253	polite	polite			Non-physical	3300	POLITE
2254	political party	political party			Abstract entities		
2255	pollen	pollen			Plants		
2256	pomegranate	pomegranate			Plants	3732	POMEGRANATE
2257	pondweed	pondweed			N/a		
2258	poor, needy	poor, needy	None		Non-physical	1674	POOR
2259	poor, needy	poor, needy			Non-physical	1674	POOR
2260	popcorn	popcorn	corn kernels popped after exposion to heat.		N/a		
2261	pope	pope	head of the Roman Catholic Church		N/a		
2262	poplar (Populus alba)	poplar (Populus alba)			Plants	821	POPLAR
2263	poppy (Papaver somniferum)	poppy (Papaver somniferum)			Plants		
2264	porcelain	porcelain	hard white translucent ceramic, originally made by firing kaolin, quartz, and feldspar at high temperatures		N/a		
2265	porcupine	porcupine	any of several rodents of either of the taxonomic families Hystricidae (Old World porcupines) or Erethizontidae (New World porcupines), both from the infraorder Hystricognathi, noted for their sharp spines or quills, which are raised when the animal is attacked or surprised		N/a	2510	PORCUPINE
2266	pot	pot			Artifacts	1462	POT
2267	potato	potato			Plants	593	POTATO
2268	pottery fragment	pottery fragment			Artifacts		
2269	poverty	poverty			Abstract entities		
2270	powder	powder	fine particles which are the result of reducing a dry substance by pounding, grinding, or triturating		N/a	3368	POWDER
2271	powdery mildew	powdery mildew	fungal disease of plants		N/a		
2272	power, authority	power, authority			Abstract entities	2526	POWER
2273	powerless	powerless			Evaluation		
2274	prayer (text)	prayer (text)	specific words used for praying		Abstract entities		
2275	precipice, abyss	precipice, abyss			Natural objects	618	PRECIPICE
2276	precipitous	precipitous	steep, like a precipice		N/a	2717	STEEP
2277	predator	predator			N/a		
2278	pregnant	pregnant			Other physical	1123	PREGNANT
2279	present, gift	present, gift			Possession	2982	GIFT
2280	previous	previous			N/a		
2281	price	price			Abstract entities	657	PRICE
2282	prickly, thorned	prickly, thorned			N/a		
2283	pride	pride			Abstract entities	3915	PRIDE
2284	priest (Christianity)	priest (Christianity)			Human being	852	PRIEST
2285	priest's headgear	priest&#39;s headgear			N/a		
2286	priest's wife	priest&#39;s wife			N/a		
2287	prince	prince			N/a	2554	PRINCE (RULER)
2288	princess	princess			N/a		
2289	prison	prison			Artifacts	1281	PRISON
2290	probably	probably	None		N/a		
2291	problem (mathematics)	problem (mathematics)			N/a	2425	PROBLEM
2292	profession	profession			N/a		
2293	profit, gain (n.)	profit, gain (n.)			Abstract entities	2929	BENEFIT
2294	profiteer	profiteer	one who makes an unreasonable profit not justified by cost or risk		N/a		
2295	profound	profound	intellectually deep; entering far into subjects; reaching to the bottom of a matter, or of a branch of learning; thorough		N/a	1593	DEEP
2296	promise (n.)	promise (n.)	an oath or affirmation; a vow		Human being		
2297	pronoun	pronoun	type of function word or expression that stands in for (expresses the same content as) another word, phrase, clause or sentence where the meaning is recoverable from the context		N/a		
2298	propeller (of boat engine)	propeller (of boat engine)	mechanical device with evenly-shaped blades that turn on a shaft to push against water, used to propel a boat		N/a		
2299	proper arrangement, order	proper arrangement, order			Abstract entities	1128	ORDER
2300	property, possessions	property, possessions			Artifacts	3860	POSSESSIONS
2301	prophet	prophet	one who speaks by divine inspiration		N/a		
2302	prose	prose			Abstract entities		
2303	prosperity	prosperity			N/a		
2304	prostate	prostate	gland in male mammals surrounding the urethra just below the urinary bladder that controls the release of urine from the bladder and produces a secretion that is the fluid part of semen		N/a		
2305	protection, patronage	protection, patronage			Abstract entities		
2306	protégé	protégé			N/a		
2307	protein	protein			N/a		
2308	protrusion at the end of a key	protrusion at the end of a key			N/a		
2309	proud	proud			Non-physical	174	PROUD
2310	proverb	proverb			N/a	3646	PROVERB
2311	puffball	puffball			N/a		
2312	pumpkin	pumpkin			Plants	864	PUMPKIN
2313	pungent (odour)	pungent (odour)			Perception		
2314	punishment	punishment			Abstract entities	390	PUNISHMENT
2315	pupil (of an eye)	pupil (of an eye)			Body parts	1658	PUPIL
2316	puppet, lay figure	puppet, lay figure			N/a		
2317	puppy (of a dog)	puppy (of a dog)			Animals	74	PUPPY
2318	pure	pure			Other physical	1147	PURE
2319	purgative (medicine)	purgative (medicine)			N/a		
2320	pus	pus			Physiology	1808	PUS
2321	push button	push button			Artifacts		
2322	pyrite	pyrite	common mineral iron disulfide (FeS2), of a pale brass-yellow color and brilliant metallic luster		N/a		
2323	quantity	quantity	fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items		Phasal	2945	COUNT (QUANTITY)
2324	quarrel	quarrel			N/a	1848	QUARREL
2325	queen	queen	female monarch		N/a	1306	QUEEN
2326	queen (bee)	queen (bee)	reproductive female insect in a beehive		Animals		
2327	queen (playing card)	queen (playing card)	playing card with a depiction of a queen on it, generally ranking next below the king and above the jack in a given suit		N/a		
2328	queen (termites and ants)	queen (termites and ants)	reproductive female of social insects		N/a		
2329	queen, princess	queen, princess			N/a		
2330	queue	queue	line of people, vehicles or other objects, in which one at the front end is dealt with first, the one behind is dealt with next, and so on, and which newcomers join at the opposite end (the back)		Abstract entities		
2331	quick	quick	of a process taking place at high speed		Other physical	1631	FAST
2332	quiet (vs. loud)	quiet (vs. loud)			Sound	1314	QUIET
2333	quince	quince	pear-shaped fruit of a small tree of the rose family, Cydonia oblonga		Plants		
2334	quinsy	quinsy			Physiology		
2335	quite, rather	quite, rather			N/a		
2336	quiver	quiver			N/a	995	QUIVER (FOR ARROWS)
2337	quotation mark	quotation mark	sign used to denote a quotation in writing		N/a		
2338	ready meal	&lt;ready meal&gt;			N/a		
2339	religious festival	&lt;religious festival&gt;	festival for a particular deity. saint or religious event		N/a		
2340	rural foot-wear	&lt;rural foot-wear&gt;			Artifacts		
2341	rabid	rabid	affected with rabies		Other physical	2203	RABID
2342	raccoon	raccoon	nocturnal omnivore native to North America, typically with a mixture of gray, brown, and black fur, a mask-like marking around the eyes and a striped tail; Procyon lotor		N/a	828	RACCOON
2343	race, ethnos	race, ethnos			N/a		
2344	radiointerference	radiointerference	distortion on a broadcast signal due to atmospheric or other effects		Interpersonal relations		
2345	radish	radish	Raphanus sativus var. radicula		N/a	2365	RADISH
2346	radius (bone)	radius (bone)	long bone in the forearm, on the side of the thumb		N/a		
2347	radius (geometry)	radius (geometry)	line segment between any point of a circle or sphere and its center		Artifacts		
2348	raft	raft	flat-bottomed craft usually made of logs able to float on water, used for transport		N/a	1664	RAFT
2349	rag, duster	rag, duster	None		Artifacts	332	RAG
2350	railcar	railcar	unpowered unit in a railroad train		N/a		
2351	rain	rain	water falling from a cloud		Natural objects	658	RAIN (PRECIPITATION)
2352	rainbow	rainbow	multicoloured arch in the sky, produced by prismatic refraction of light within droplets of rain in the air		Natural objects	1733	RAINBOW
2353	rainbow smelt	rainbow smelt	fish Osmerus mordax		N/a		
2354	raisin	raisin	dried grape		N/a	920	GRAPE
2355	rake	rake	garden tool with a row of pointed teeth fixed to a long handle, used for collecting debris, grass, etc., for flattening the ground, or for loosening soil		N/a	338	RAKE
2356	ram	ram	male sheep		Animals	1344	RAM
2357	Ranunculus	Ranunculus			N/a		
2358	rapids	rapids	rough section of a river or stream which is difficult to navigate due to the swift and turbulent motion of the water		Natural objects	1670	RAPIDS
2359	rare	rare	very uncommon; scarce		Time	209	RARE
2360	rash, eruption	rash, eruption			Physiology		
2361	raspberry	raspberry	plant Rubus idaeus		Plants	3803	RASPBERRY
2362	rat	rat	rodent belonging to the genus Rattus		Animals	1490	RAT
2363	rather (preference)	rather (preference)			N/a		
2364	raven	raven	bird Corvus corax		Animals	2543	RAVEN
2365	ravine	ravine	deep narrow valley or gorge in the earth&#39;s surface		Natural objects	1930	RAVINE
2366	raw	raw			Other physical	1959	RAW
2367	raw	raw			Other physical	1959	RAW
2368	raw material	raw material			N/a		
2369	ray	ray	beam of light		Natural objects		
2370	ready	ready			Non-physical	790	READY
2371	rear	rear	being behind, or in the hindmost part; hindmost		N/a		
2372	rear end	rear end			N/a		
2373	recent	recent			Non-physical		
2374	recently	recently			Time		
2375	red	red			Light and Colour	156	RED
2376	red panda	red panda	omnivorous mammal, Ailurus fulgens, native to the Himalayas and eastern Asia, which has dark red fur and a ringed tail		N/a		
2377	redfin dace	redfin dace	fish Tribolodon		N/a		
2378	reed	reed			N/a	659	REED
2379	reed (in loom)	reed (in loom)	comb-like part of a beater for beating the weft when weaving		N/a		
2380	reflection (in the mirror, water)	reflection (in the mirror, water)	image that appears on a smooth, shiny surface due to the refraction of light rays		N/a		
2381	region	region	any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district		N/a		
2382	reindeer	reindeer	arctic and subarctic-dwelling deer of the species Rangifer tarandus		N/a	1876	REINDEER
2383	reindeer calf	reindeer calf			N/a		
2384	relation, connection	relation, connection			N/a		
2385	relative (n.)	relative (n.)			Human being	1644	RELATIVES
2386	reliable, trustworthy	reliable, trustworthy			N/a		
2387	remembrance	remembrance	act of remembering; a holding in mind, or bringing to mind; recollection		N/a		
2388	remote area	remote area			N/a		
2389	reputation	reputation			N/a		
2390	resentment, offense	resentment, offense	displeasure stemming from belief that one has been wronged or betrayed by others		N/a		
2391	resin, tar	resin, tar	None		Natural objects	664	RESIN
2392	respect (n.)	respect (n.)			Abstract entities	1912	RESPECT (NOUN)
2393	respected, venerable	respected, venerable	None		Non-physical		
2394	rest (n.)	rest (n.)			N/a		
2395	result, outcome	result, outcome			Abstract entities	3969	RESULT
2396	resurrection	resurrection			N/a		
2397	retina	retina	thin layer of cells at the back of the eyeball that contains rods and cones sensitive to light, which trigger nerve impulses that pass via the optic nerve to the brain		N/a		
2398	revenge	revenge			Abstract entities	495	REVENGE
2399	rheumatism	rheumatism			Abstract entities		
2400	rhinoceros	rhinoceros	any of several large herbivorous ungulates native to Africa and Asia of the five extant species in the three extant genera in the family Rhinocerotidae, with thick, gray skin and one or two horns on their snouts		Animals	2591	RHINOCEROS
2401	rhinoceros	rhinoceros			Animals	2591	RHINOCEROS
2402	rhombus	rhombus	parallelogram having all sides of equal length		N/a		
2403	rhubarb	rhubarb	plant of the genus Rheum, especially Rheum rhabarbarum, having large leaves and long green or reddish acidic leafstalks that are edible, in particular when cooked		N/a		
2404	rib	rib	any of a series of long curved bones occurring in 12 pairs in humans and other animals and extending from the spine to or toward the sternum.		Body parts	801	RIB
2405	rib (part of a ship’s framework)	rib (part of a ship’s framework)	any of several curved members attached to a ship&#39;s keel and extending upward and outward to form the framework of the hull		N/a		
2406	rice	rice	cereal plant, Oryza sativa of the grass family whose seeds are used as food		Natural objects	926	RICE
2407	rich	rich			Non-physical	712	RICH
2408	riddle	riddle			N/a	2970	RIDDLE
2409	ridgepole	ridgepole	beam along the ridge of a roof to which the rafters are attached		N/a	280	RIDGEPOLE
2410	right	right	correct		N/a	1725	CORRECT (RIGHT)
2411	right (political)	right (political)	opposing political and social equality, especially conservative, traditional, and/or reactionary politics		N/a		
2412	right (vs. left)	right (vs. left)	dexter; designating the side of the body which is positioned to the east if one is facing north		Other physical	1019	RIGHT
2413	right side	right side			Space		
2414	ring finger	ring finger	finger between middle finger and little finger		N/a		
2415	river	river	large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or in an inland sea		Natural objects	666	RIVER
2416	river-bed	river-bed	path where a river runs, or where a river once ran; the bottom earthen part of a river, not including the riverbanks		Natural objects	993	RIVER BED
2417	road	road			Space	667	ROAD
2418	roasted	roasted			N/a		
2419	robbery	robbery			Abstract entities		
2420	rock, crag, cliff	rock, crag, cliff			Natural objects	992	CLIFF
2421	rodent	rodent	mammal of the order Rodentia, characterized by long incisors that grow continuously and are worn down by gnawing		N/a	669	RODENT
2422	rolling-pin	rolling-pin			Artifacts		
2423	Romani	Romani	member of the Romani people, or one of the sub-groups (Roma, Sinti, Romanichal, etc)		Human being		
2424	roof	roof			N/a	769	ROOF
2425	rook	rook	bird Corvus frugilegus		Human being		
2426	rook (chess)	rook (chess)			N/a		
2427	room	room			Artifacts	1450	ROOM
2428	rooster	rooster	male domestic chicken		Animals	1511	ROOSTER
2429	root (arithmetic)	root (arithmetic)	number which, when raised to a specified power, yields the specified number		N/a		
2430	root (of a plant)	root (of a plant)	part of a plant, generally underground, that anchors and supports the plant body, absorbs and stores water and nutrients		Plants	670	ROOT
2431	root (of a word)	root (of a word)	primary lexical unit of a word, which carries the most significant aspects of semantic content and cannot be reduced into smaller constituents		N/a		
2432	root of equation	root of equation	number whose substitution into an equation instead of a variable (usually x ) gives the same expression values to the right and left of the equal sign		N/a		
2433	root of tooth	root of tooth	part of a tooth extending into the bone holding the tooth in place		N/a		
2434	root vegetable	root vegetable	root of a plant used as an edible vegetable, such as the carrot		N/a		
2435	rope, cord	rope, cord	thick strings, yarn, monofilaments, metal wires, or strands of other cordage that are twisted together to form a stronger line		Artifacts	1218	ROPE
2436	rose	rose	shrub of the genus Rosa, with red, pink, white or yellow flowers. A flower of this shrub		N/a	3882	ROSE
2437	rose apple (Syzygium)	rose apple (Syzygium)	various Syzygium species or their fruit, especially: Syzygium aqueum, the watery rose apple; Syzygium jambos, the jambu fruit; Syzygium malaccense, the Malay rose apple; Syzygium samarangense, the Semarang rose-apple or wax jambu.		N/a		
2438	rose chafer	rose chafer	beetle Cetonia aurata		N/a		
2439	rotten	rotten			Other physical	1728	ROTTEN
2440	rough wool	rough wool			N/a		
2441	rough, uneven	rough, uneven			Other physical	1923	ROUGH
2442	round (adj.)	round (adj.)			Other physical	1395	ROUND
2443	round object	round object			N/a		
2444	rowan	rowan			Plants		
2445	rubber	rubber			N/a		
2446	ruby (stone)	ruby (stone)	clear, deep, red variety of corundum, valued as a precious stone		Natural objects		
2447	rudder (of a boat)	rudder (of a boat)			Artifacts	108	RUDDER
2448	rude, impolite	rude, impolite			Evaluation	1412	RUDE
2449	ruff	ruff	circular frill or ruffle on a garment, especially a starched, fluted frill at the neck		N/a		
2450	ruff (bird)	ruff (bird)	Philomachus pugnax		N/a		
2451	ruff (fish)	ruff (fish)	small freshwater fish Gymnocephalus cernua which has spiny fins		Animals		
2452	rule, regulations	rule, regulations			Abstract entities		
2453	rumour	rumour	statement or claim of questionable accuracy, from no known reliable source, usually spread by word of mouth		Abstract entities	63	RUMOUR
2454	runner	runner	one who runs		N/a		
2455	rural	rural			Non-physical		
2456	rush (plant)	rush (plant)			Plants		
2457	Russian	Russian	ethnic Russian: a member of the East Slavic ethnic group which is native to, and constitutes the majority of the population of, Russia		N/a		
2458	Russian desman	Russian desman	mammal Desmana moschata		N/a		
2459	rust (n.)	rust (n.)	deteriorated state of iron or steel as a result of moisture and oxidation		Natural objects	3064	RUST
2460	rust (plant disease)	rust (plant disease)	fungal disease of plants		N/a		
2461	rusty	rusty	marked or corroded by rust		Other physical		
2462	rut	rut	sexual desire of mammals during the mating season		N/a		
2463	rye	rye	grain used extensively in Europe for making bread, beer, and (now generally) for animal fodder. The grass Secale cereale from which the grain is obtained.		N/a	23	RYE
2464	rye bread	rye bread	bread made partly or entirely with rye flour		N/a		
2465	salmon	&lt;salmon&gt;	one of several species of fish of the Salmoninae subfamily		Animals	944	SALMON
2466	small artifact	&lt;small artifact&gt;			N/a		
2467	small insect	&lt;small insect&gt;	any small insect		Animals		
2468	sturgeon	&lt;sturgeon&gt;	any marine or freshwater fish of the family Acipenseridae		Animals	3606	STURGEON
2469	swimming bird	&lt;swimming bird&gt;	any swimming bird		Animals		
2470	sabbath	sabbath			N/a		
2471	sable	sable	Martes zibellina, small carnivorous mammal of the Old World that resembles a weasel		N/a		
2472	sabrefish	sabrefish	fish Pelecus cultratus		Animals		
2473	sack, bag	sack, bag			Artifacts		
2474	sacred, holy	sacred, holy	None		N/a	1702	HOLY
2475	sacrifice	sacrifice	offering of anything to a god; a consecratory rite		N/a	1103	SACRIFICE
2476	sacrum (bone)	sacrum (bone)	large triangular bone at the base of the spine, located between the two ilia (wings of the pelvis) and formed from vertebrae that fuse in adulthood		N/a		
2477	sad	sad			Non-physical	699	SAD
2478	saddle	saddle	seat for a rider placed on the back of a horse or other animal		Artifacts	3065	SADDLE
2479	saddleback	saddleback	saddle-shaped ridge forming a shallow pass between two peaks		Natural objects		
2480	sadness	sadness			N/a	3854	SADNESS
2481	safety	safety			N/a		
2482	saffron	saffron	plant Crocus sativus		Plants		
2483	Sagittarius	Sagittarius	constellation of the zodiac supposedly shaped like a centaur who is an archer		N/a		
2484	saiga antelope	saiga antelope	Saiga tatarica		N/a		
2485	sail (n.)	sail (n.)	piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along		Artifacts	786	SAILCLOTH
2486	sailor	sailor	member of the crew of a vessel; a mariner; a common seaman		N/a		
2487	saint	saint			N/a		
2488	Saint Demetrius	Saint Demetrius	Demetrius of Thessaloniki. His feast day is 26 October for Eastern Orthodox Christians, which falls on 8 November [NS] for those following the old calendar. In the Roman Catholic church he is most commonly called &#34;Demetrius of Sermium&#34; and his memorial falls on 8 October.		N/a		
2489	Saint George’s Day	Saint George’s Day	the feast day of Saint George, celebrated by Christian churches, countries, and cities of which he is the patron saint		N/a		
2490	Saint Nicholas	Saint Nicholas	a 4th-century Greek bishop from Myra, Anatolia, patron saint of children, mariners and the unwed among others, functioning in multiple countries as a gift-giving figure around his feast day of December 6.		N/a	2404	SANTA CLAUS
2491	Saint-John's-wort (Hypericum)	Saint-John&#39;s-wort (Hypericum)			Plants		
2492	salad	salad	food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise		N/a		
2493	salary	salary			N/a	1122	WAGES
2494	salsify	salsify	Tragopogon, a genus of flowering plants in the family Asteraceae		N/a		
2495	salt	salt	common substance, chemically consisting mainly of sodium chloride (NaCl), used extensively as a condiment and preservative		Natural objects	1274	SALT
2496	salty	salty			Taste	1091	SALTY
2497	Samhain	Samhain	holiday, falling on the night of October 31 to November 1, celebrated by the ancient Celts and by modern neo-pagans as the beginning of winter and the new year, and a time during which the spirits of the dead could return to the earth		N/a		
2498	Samsara	Samsara	In Jainism, Hinduism, Buddhism, the ongoing cycle of birth, death, and rebirth endured by human beings and all other mortal beings, and from which release is obtained by achieving the highest enlightenment		N/a		
2499	sand	sand	rock that is ground more finely than gravel, but is not as fine as silt, forming beaches and deserts and also used in construction		Natural objects	671	SAND
2500	sap (of a plant)	sap (of a plant)			Natural objects	345	SAP
2501	sapling	sapling			Natural objects		
2502	sapwood, alburnum	sapwood, alburnum	the wood just under the bark of a stem or branch, different in color from the heartwood		N/a		
2503	sarcastic	sarcastic			Non-physical		
2504	sated with food	sated with food	None		N/a		
2505	satellite of a planet	satellite of a planet			N/a		
2506	sati (Hindu practice)	sati (Hindu practice)			N/a		
2507	satintails (Imperata)	satintails (Imperata)	widespread genus of tropical and subtropical grasses		N/a		
2508	saturated (of colour)	saturated (of colour)			Light and Colour		
2509	saturated (with something)	saturated (with something)			Other physical		
2510	Saturday	Saturday			Time	1700	SATURDAY
2511	Saturn	Saturn			Natural objects		
2512	sausage	sausage			Artifacts	1874	SAUSAGE
2513	saw	saw			Artifacts	1948	SAW
2514	sawdust	sawdust			Artifacts		
2515	scale insect	scale insect			N/a		
2516	scale, squama	scale, squama	rigid plates which grows out of the skin of various animals (Wikipedia)		N/a	266	SCALE
2517	scales,  weighing machine	scales,  weighing machine			N/a	2783	SCALES (MEASURE INSTRUMENT)
2518	scandal	scandal			Abstract entities		
2519	scanty, not numerous	scanty, not numerous			Quantity	542	SCANTY
2520	scanty, scarce	scanty, scarce	somewhat less than is needed in amplitude or extent		N/a	542	SCANTY
2521	scar	scar			Physiology	497	SCAR
2522	scarf	scarf			Artifacts	3066	SCARF OR TURBAN
2523	scarlet fever	scarlet fever			Abstract entities		
2524	scarlet pimpernel (Anagallis arvensis)	scarlet pimpernel (Anagallis arvensis)			N/a		
2525	scatterbrain	scatterbrain			N/a		
2526	scissors	scissors			N/a	356	SHEARS
2527	scorpion	scorpion			Animals	1538	SCORPION
2528	Scorpius	Scorpius	constellation of the zodiac, roughly shaped like a scorpion. Its brightest star is the red giant Antares		N/a		
2529	scoundrel	scoundrel			N/a		
2530	screen (in cinema)	screen (in cinema)	viewing surface or area of a movie, or moving picture or slide presentation		N/a		
2531	screen, cover	screen, cover			N/a		
2532	screw, screw-bolt	screw, screw-bolt			Artifacts	1802	SCREW
2533	scrotum	scrotum			Body parts	2834	SCROTUM
2534	scythe	scythe	instrument for mowing grass, grain, etc. by hand, composed of a long, curving blade with a sharp concave edge, fastened to a long handle		N/a	20	SCYTHE
2535	sea	sea			Natural objects	1474	SEA
2536	seagull	seagull			Animals	950	SEAGULL
2537	seahorse (Hippocampus)	seahorse (Hippocampus)			N/a	2586	SEAHORSE
2538	seal (animal)	seal (animal)			Animals	651	SEAL
2539	seal, stamp	seal, stamp			N/a		
2540	season (of the year)	season (of the year)			N/a	691	SEASON
2541	seasonal flooding	seasonal flooding			N/a		
2542	seat, chair	seat, chair			Artifacts	1476	CHAIR
2543	second (measure of time)	second (measure of time)			Time		
2544	second (num.)	second (num.)			Abstract entities	1384	SECOND
2545	second wife	second wife	second wife		N/a		
2546	secret	secret			Non-physical	1121	SECRET
2547	secret (n)	secret (n)			Abstract entities		
2548	secret; covert	secret; covert			Non-physical	1121	SECRET
2549	sediment	sediment			Natural objects		
2550	seesaw	seesaw	structure composed of a plank, balanced in the middle, used as a game in which one person goes up as the other goes down		N/a		
2551	self	self			N/a	1993	SELF
2552	sense of smell	sense of smell			Abstract entities	2520	SMELLING (OLFACTORY SENSE)
2553	sense, perception	sense, perception			Abstract entities		
2554	sensitive	sensitive			N/a		
2555	sensitive (instrument)	sensitive (instrument)			N/a		
2556	sensitive (person)	sensitive (person)			N/a		
2557	sensitive, keen (of hearing)	sensitive, keen (of hearing)			N/a		
2558	sentence (by a court)	sentence (by a court)			N/a	390	PUNISHMENT
2559	separate (adj.)	separate (adj.)			Non-physical		
2560	separately	separately			Abstract relations		
2561	September	September			N/a	2852	SEPTEMBER
2562	servant	servant			Human being	255	SERVANT
2563	service, good turn	service, good turn			Abstract entities		
2564	seven	seven			N/a	1704	SEVEN
2565	seventy	seventy			N/a	1721	SEVENTY
2566	several	several	a quanitity of objects less than ten and more than two.		N/a	1198	MANY
2567	severe (about pain)	severe (about pain)			Evaluation		
2568	severe, harsh	severe, harsh	None		Non-physical	419	SEVERE
2569	sexual partner	sexual partner			N/a		
2570	sexually attractive	sexually attractive			N/a		
2571	sexually transmitted disease	sexually transmitted disease			N/a		
2572	shadberry	shadberry			Plants		
2573	shade	shade			N/a	1388	SHADE
2574	shadow	shadow			Natural objects	2275	SHADOW
2575	shadow	shadow			Natural objects	2275	SHADOW
2576	shadow side	shadow side	a side of an object (e.g. mountain) which is protected from the sunlight.		N/a		
2577	shadow theatre	shadow theatre			Artifacts		
2578	shahada	shahada			N/a		
2579	shallow	shallow			Size	193	SHALLOW
2580	shaman	shaman			N/a	394	SHAMAN (FOLK HEALER)
2581	shaman hand drum	shaman hand drum			N/a		
2582	shame	shame			Abstract entities	1776	SHAME
2583	shape, form	shape, form			N/a	3747	SHAPE
2584	shapeless	shapeless			Other physical		
2585	share; stock	share; stock			Artifacts		
2586	shark	shark			Animals	1110	SHARK
2587	sharp	sharp			Tactile quality	1396	SHARP
2588	sharp point	sharp point			Artifacts	2992	TIP (OF OBJECT)
2589	sharpshooter	sharpshooter	person trained to shoot precisely with a rifle		Non-physical		
2590	sheaf	sheaf			Artifacts		
2591	sheath	sheath			Artifacts	3424	SHEATH
2592	sheep	sheep			Animals	1331	SHEEP
2593	sheet of paper	sheet of paper			Artifacts		
2594	shell (of an egg)	shell (of an egg)			N/a		
2595	shell (of mollusc)	shell (of mollusc)	None		Animals	598	SHELL
2596	shepherd	shepherd			N/a	2544	SHEPHERD
2597	shepherd's pipe (musical instrument)	shepherd&#39;s pipe (musical instrument)			N/a		
2598	Shevat	Shevat	fifth month of the civil year and the eleventh month of the ecclesiastical year in the Jewish calendar, after Tevet and before Adar		N/a		
2599	shield	shield			Artifacts	1064	SHIELD
2600	shin	shin	part of the leg below the knee		N/a	186	SHIN
2601	shinbone	shinbone			N/a		
2602	shine (n.)	shine (n.)			Abstract entities	2236	SHINE (EMITTED LIGHT)
2603	ship's bells	ship&#39;s bells	the strokes on a ship&#39;s bell, every half hour, to mark the passage of time. In each of the day&#39;s six watches of four hours, one bell marks the end of the first half hour, eight bells marks the end of the watch		N/a		
2604	ship, vessel	ship, vessel			Artifacts	740	SHIP
2605	shirt	shirt			N/a	1622	SHIRT
2606	shive	shive	splinter or fragment of the woody core of flax or hemp broken off in braking or scutching		N/a		
2607	shoal	shoal			Natural objects		
2608	shoehorn	shoehorn	smooth tool that assists in putting the foot into a shoe		Abstract entities		
2609	shoes' soles	shoes&#39; soles			N/a		
2610	shooter	shooter			N/a		
2611	shooting target	shooting target	object in various forms and shapes that are used for pistol, rifle, shotgun and other shooting sports, as well as in darts, target archery, crossbow shooting and other sports		N/a		
2612	shop	shop			Artifacts	746	SHOP
2613	short (size)	short (size)			Size	1645	SHORT
2614	short person	short person			N/a		
2615	short, brief	short, brief			Size	3312	SHORT (TIME)
2616	shortly	shortly			Time		
2617	should, ought to	should, ought to	None		N/a		
2618	shoulder	shoulder			Body parts	1482	SHOULDER
2619	shoulder pole	shoulder pole	a yoke of wood or bamboo, used by people to carry a load		N/a	3432	SHOULDER POLE
2620	shoulder-blade, scapula	shoulder-blade, scapula			Body parts	172	SHOULDERBLADE
2621	shout, scream	shout, scream			Abstract entities		
2622	shower head	shower head			N/a		
2623	shrike	shrike	bird Lanius sp.		N/a		
2624	shrimp, prawn	shrimp, prawn			Animals	2686	CRUSTACEANS (PRAWNS OR SHRIMP)
2625	shuttle (in a sewing machine)	shuttle (in a sewing machine)			N/a		
2626	shuttle (weaving instrument)	shuttle (weaving instrument)			Artifacts	543	SHUTTLE
2627	shy	shy			N/a	487	SHY
2628	Siberian cedar (kedar)	Siberian cedar (kedar)			Plants		
2629	Siberian flying squirrel	Siberian flying squirrel	Pteromys volans		Animals		
2630	siberian jay	siberian jay	Perisoreus infaustus		N/a		
2631	Siberian weasel (Mustela sibirica)	Siberian weasel (Mustela sibirica)			Animals		
2632	sibling	sibling			N/a	1640	SIBLING
2633	sibling of opposite sex	sibling of opposite sex	brother for woman, sister for man		N/a		
2634	sick, ill	sick, ill	unhealthy		Other physical	1847	SICK
2635	sickle	sickle			N/a	341	SICKLE
2636	side (n.)	side (n.)			Space	682	SIDE
2637	side of a coin	side of a coin	None		N/a		
2638	siege engine	siege engine			N/a		
2639	sieve (n.)	sieve (n.)			Artifacts	3353	SIEVE (TOOL)
2640	sigh	sigh			N/a		
2641	sign, designation	sign, designation			Abstract entities	1720	SIGN
2642	sign, omen	sign, omen			Natural objects	107	OMEN
2643	signature	signature	person&#39;s name, written by that person, used as identification or to signify approval of accompanying material, such as a legal contract		N/a		
2644	silence	silence			N/a	3458	SILENCE
2645	silent	silent			N/a	48	BE SILENT
2646	silver	silver			Natural objects	759	SILVER
2647	simple	simple			Non-physical	686	EASY
2648	simultaneously	simultaneously			N/a		
2649	sin	sin			Abstract entities	2971	SIN
2650	since	since			N/a		
2651	single-eyed	single-eyed			Other physical		
2652	sink (basin for holding water for washing)	sink (basin for holding water for washing)			N/a	915	SINK (BASIN)
2653	sinus (math.)	sinus (math.)			Abstract entities		
2654	sir	sir			N/a		
2655	siskin	siskin	bird Spinus spinus		Human being		
2656	sister	sister			N/a	1263	SISTER
2657	sister's husband	sister&#39;s husband			N/a	2314	BROTHER-IN-LAW
