ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_DEFINITION	EXAMPLE_CONTEXT	DESCRIPTION_MD
Heggarty-2019-170-97	129	rotten	1728	ROTTEN	Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).	That fruit is rotten.	##### Illustrative Context\n_That fruit is **rotten**._\n\n##### Target Sense\n* The most generic adjective for decomposing or decomposed solid but soft food, typically fruit.\n* The target sense is the physical decomposition of an item of food, in all dimensions.  Avoid terms for relatively superficial, external effects, e.g. _mouldy_.\n* As a generic term, the same lexeme is in many languages extended to apply to a range of organic tissues, including the ‘rotting’ of other parts of plants such as wood, and the flesh/meat of animals.  Do not, however, enter additional lexemes specific to any of these other senses.\n* Avoid any additional terms more specific to the decay or dissolution of harder matter such as teeth or bone, or erosion.\n* The target sense is just the decomposition of the physical structure of solid but soft food.  Avoid narrower terms specific to any _smell_ accompanying that decomposition, e.g. _musty_, _putrid_.\n* The default term entered should be neutral, and generic.  Avoid narrower terms, not least those that inherently bear a value judgement (typically negative in this meaning), including the specific sense of no longer good to eat:  e.g. _stale_, _off_, _putrid_.\n* The target sense is the literal one of decomposition.  Avoid additional lexemes that are extensions to negative senses such as _corrupt_, _unjust_, _evil_, _useless_, etc..\n* Enter the neutral register term from the basic vocabulary:  avoid technical, biological terms (e.g. _putrefied_) or slang.\n
Heggarty-2019-170-98	130	round	1395	ROUND	Circular or having a circular cross-section in at least one direction.	That table is round.	##### Illustrative Context\n_That table is **round**._\n\n##### Target Sense\n* The most generic adjective for round, in the prototypical sense of the shape of an object as (roughly) circular, usually in the plane of its largest dimensions.  Considered effectively an antonym to other symmetrical object shapes, e.g. _square_ or indeed _oval_.\n* As a generic term, the same lexeme may extend to objects that are round not just in just two dimensions (e.g. coins, discs, or the table in the illustrative context) but in three, i.e. spherical objects such as balls.  Do not, however, enter distinct, additional lexemes specific to roundness in three dimensions, e.g. _spherical_.\n* The term for literally (if roughly) circular, in absolute terms.  Avoid relative or attenuating terms such as just _round**ed**_, i.e. not basically circular but just without sharp or discernible corners.  \n* Similarly, do not enter additional lexemes for _elliptical_ rather than truly _round_.  Only if the basic vocabulary of a language has just a single cover lexeme — as the default term for objects whether roughly round or actually clearly elliptical — would that be the target lexeme in that language (as its only default term that covers the target sense and illustrative context here, even if also applied more widely). \n* In particular, avoid lexemes that do not primarily mean circular in a literal and absolute sense, but are figurative extensions with looser and narrower senses, e.g. English _rotund_ for the shape of a person’s body, particularly their girth. \n* The target is the generic adjective, relatively non-specific as to the nature of the (round) object in question.  Avoid other adjectives applied more narrowly only or predominantly to one or more specific types of typically round object, e.g. wheels, rings, discs.\n* The default register term, in the basic vocabulary:  avoid (even just slightly) more technical or elevated terms, e.g. _circular_.
Heggarty-2019-170-99	132	salt	1274	SALT	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).	She puts too much salt in her food.	##### Illustrative Context\n_She puts too much salt in her **food**._\n\n##### Target Sense\n* The most generic noun for _salt_ in the prototypical sense of its visible white and solid form, used for adding to food (as in the illustrative context) and commonly ground into small grains or a powder.  \n* The target sense is the noun (normally a mass/non-count noun) for salt as a solid or powder.  Do not enter the adjective _salty/saline/salted_, nor related nouns for  salted (savoury) as a type of taste, salt water (e.g. _brine_), etc..  \n* Enter the most generic lexeme;  avoid narrower terms that refer to particular types of salt (e.g. _sea-salt_, _rock salt_), preparations of salt in any particular form (e.g. coarsely or finely ground powder), etc..\n* Follow popular usage and basic vocabulary:  technical definitions in chemistry are irrelevant.  Avoid terms equivalent to (English) _salt_ used as a chemical term to refer to other ionic compounds.  The target sense here is only common salt as (predominantly) sodium chloride, used with food.  Avoid technical terms (e.g. chemical or culinary).  \n\n
Heggarty-2019-170-100	133	sand	671	SAND	A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.	She let the sand fall through her hands.	##### Illustrative Context\n_She let the **sand** fall through her hands._\n\n##### Target Sense\n* The most generic term for sand as a form of material — a mass of grains of rock, shell, mineral, etc. — so small and granular that individual grains are only just distinguishable to the naked eye, and as one would find prototypically in a desert or on a beach, most commonly yellowish in colour.  \n* In most languages this term will be a mass/non-count noun, and in order to refer to any one tiny grain of sand may require singulative morphology or a quantifier noun such as English _grain_ in _a grain of sand_.  \n* Avoid narrower terms (and count nouns) that refer specifically to particular conformations of sand, i.e. terms for a (sandy) _beach_,  _dune_, a place or surface covered with sand, e.g. French _arène_, etc..\n* What in English is a distinct lexeme _sand_ may in other languages co-lexify with other similar meanings.  Enter, however, only the single lexeme in your language that is the default term in the basic vocabulary for the target prototypical sense as defined above, and would be used in the illustrative context (irrespective of what other wider senses it may also extend to).  Do not enter any additional lexemes that more specifically correspond to different concepts (in English) such as _dust_, _powder_, _ash_, _soot_, _silt_, _soil_, _dirt_, _mud_, etc..  \n* So if your language does distinguish, for example, a separate lexeme for the sand-like material on a river-bed or river-banks, equivalent to English _silt_, then do not enter this as an additional lexeme;  enter only the basic _sand_ lexeme.  The target term in English is _sand_ alone, and none of the other English lexemes mentioned here.\n* In the target sense here, sand prototypically does not contain significant organic matter and is not good for growing most plants in.  Avoid terms more closely equivalent to _soil_, or that denote a soil type, even if with significant sand content, e.g. _loess_.\n* Enter the most basic, default lexeme and avoid terms that are narrower in any sense, e.g. lexemes to distinguish:  \n    - Particular degrees of coarseness/fineness of grain size, e.g. course _gravel_.\n    - Particular degrees of dryness/wetness of sand, e.g. _quicksand_.\n    - Specific colours of sand.  \n* The target sense is the literal one of sand as a naturally occurring material.  Avoid any additional lexemes that primarily represent extensions to figurative senses, e.g. sand as representing dryness, elusiveness, impermanence, an obstacle, the passage of time, etc.. \n* See also the definitions for the distinct IE-CoR meanings dust and ash.\n
Heggarty-2019-170-101	134	say	1458	SAY	To communicate orally, using a particular language; to express in words.	She said that she would be late.	##### Illustrative Context\n_She **said** that she would be late._\n\n##### Target Sense\n* The most generic transitive verb for say, as prototypically used to refer to a specific mention of an instance of speech, direct and/or indirect, i.e.:\n    - With a citation of direct speech:  e.g. _“I’ll be late”, she **said**._\n    - With indirect speech, introduced by a conjunction or other equivalent to English _that_:  e.g. _She **said** that she would be late._\n* In many cases, the default verb will be transitive also in being able to take as its direct object a noun such as _words_, _prayers_, _something_, as in _she said something strange_, or expressions of ‘pseudo-direct’ speech such as _say hello_, _say your goodbyes_.  \n* Do **not confuse** with verbs for _speak_, which can typically take as direct object a noun like _language_ or the name of a language, unlike the objects of _saying_:  a specific, individual phrase or utterance, or object noun standing in for one.  \n* The target sense is thus explictly that of English _say_ not _speak_, of French _dire_ not _parler_, German _sagen_ not _sprechen_, and so on.  \n* Avoid terms that add a narrower, explicit meaning of imparting information, e.g. _tell_, _inform_ (where the person informed may be the object of the verb), rather than any form of utterance (including those not addressed to anyone).  Note, for example, that English allows _say hello_, but not _tell hello_.\n* The broader semantic field here is in many languages replete with dozens of lexemes.  As per strict IE-CoR policy, enter only the single lexeme of basic vocabulary, most neutral and default in register, that best matches the definition and illustrative context above.  Avoid any additional lexemes that are narrower in any other senses, among them: \n    - Lexemes that inherently refer to a particular manner of speaking, such as loud, quite, fast, slow, deliberate, off-hand, etc., e.g. _exclaim_, _declare_, mention_, _drawl_, etc.. \n    - Lexemes specific to acts of reading or performances of texts, stories, songs, etc., e.g. _recite_, _recount_. \n    - Lexemes that specify two-way communication, e.g. _discuss_, _chat_. \n    - Non-neutral lexemes that have additional emotional sense or an implicit value judgement, e.g. _blabber_, _lie_.\n    - Lexemes from non-default registers, e.g. elevated and literary _utter_, _pronounce_, _cry_, French _fit_ (for _dit_), antiquated English _quoth_, or slang (e.g. French _baraguiner_).\n\n
Heggarty-2019-170-102	136	sea	1474	SEA	A body of salt water that is smaller than an ocean and generally in proximity to a continent.	Her house is beside the sea.	##### Illustrative Context\n_Her house is beside the **sea**._\n\n##### Target Sense\n* The most generic noun for _the_ sea, as a general environment, in contrast to land.  \n* The target sense is therefore the one particularly inherent in English usage _the_ sea, not in the count noun sense of _a_ particular, named _sea_ seen as a geographical unit in contrast to other ‘seas’.\n* To identify the basic, most generic lexeme in your language, follow only popular usage in this non-count sense.  In particular, do not focus on technical definitions or criteria, e.g. of what is claimed to ‘count’ as a _sea_ as opposed to a _lake_ or _ocean_ in geographical or cartographical analyses.  Ignore these count noun senses anyway.  Do **not** make judgements on the basis of the names of particular water bodies that may or may not be named as _lake_, _sea_ or _ocean_ (inconsistently) from one particular language to the next (e.g. the Baltic and Caspian ‘Seas’, but ‘Lakes’ Superior, Victoria or Baikal).  This terminology is inconsistent, and not relevant to the IE-CoR target sense.\n* The lexeme selected **must** be applicable to the prototypical case of sea that is of salt water, not landlocked, and in scale is unbounded from the perspective of an observer anywhere on land, i.e. sea that stretches at least to the horizon and whose other shore is so distant that it cannot be seen from any point on land.  Necessarily, this is far greater than the prototypical scale of English _lake_ and the corresponding IE-CoR meaning lake.  \n* On the other hand, avoid terms that bear the specific geographical, cartographical sense of _ocean_, i.e. the largest scale of one of the limited number of specific named oceans on Earth, accepted in geographical terminology.   The term _ocean_ in English, like its equivalents in many other languages, represents a hypernym beyond the IE-CoR target sense of _sea_.  Do not enter terms for (or equivalent to) _ocean_. \n* Compare with the approaches to considerations of size also in the separate IE-CoR meanings river, mountain and forest.)\n* Enter only the default, neutral-register term.  Avoid all other, marked registers, such as literary, poetic or antiquated terms like _main_, _(the) deep_, French _(le) large_.  \n* The target sense is literal, the sea as the natural environment.  Avoid terms specific to extensions and figurative senses of the sea as vastness, wilderness, menace, oblivion, ‘highway’, etc. (e.g. _a sea of troubles, tears_, etc.). \n
Heggarty-2019-170-103	137	see	1409	SEE	To perceive [images] with the eye, without necessarily paying attention to them.	I see him every day on the road.	##### Illustrative Context\n_I **see** him every day on the road._\n\n##### Target Sense\n* The most generic transitive verb for see, in the literal, prototypical sense of perceiving with the eyes, passively and without needing deliberate intention. \n* Avoid other verbs that add the narrower meaning of specifically active, intentional or purposeful observing.  That is, the target sense is that of English _see_, and explicitly **not** that of English _look (at)_ or _watch_.  Compare with the analogous contrasts under the separate IE-CoR meaning hear, i.e. not purposeful _listen_.\n* As in the illustrative context, the lexeme entered must be applicable at least to seeing a human, although as a generic, default verb it will in most languages be applicable very widely, usually to anything that can be seen.\n* In many languages the literal _see_ verb can naturally extend to mean also _understand_, _realise_, as in English _I don’t see why_ or _Ah, I see._  This is not in itself an issue, but do not enter additional lexemes that necessarily entail this extension.  Enter only the most basic, default lexeme for the target literal sense of simply observing, i.e. what the eyes do, not any thought process about what one may then be able to infer from that observation.  \n* Avoid any terms that are narrower in stressing the ability to see things that are decidedly small or hard to distinguish, e.g. _make out_, _discern_, _spot_, etc..\n* Avoid terms that are more specific in any other sense, too:  e.g. _witness_, _notice_, etc.. \n* The target register is the default, neutral one of basic vocabulary.  Avoid lexemes limited to other registers, e.g. formal _perceive_, _observe_, _note_, or any slang terms.\n
Heggarty-2019-170-104	138	seed	714	SEED	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).	You can eat the seeds of (insert name of local fruit).	##### Illustrative Context\n_I only had ten **seeds** to plant and the birds ate them all._\n\n##### Target Sense\n* The most basic, generic term for a seed in the prototypical sense defined as follows:  hard and dry, typically roundish, as would be pecked at by birds, and in size typically between that of a mustard seed to a sunflower seed. \n* Languages typically distinguish a range of different terms, varying by type of seed and plant.  For IE-CoR, however, enter the most generic term in the basic vocabulary that covers the prototypical sense and would be most natural in the illustrative context above.  \n* As a generic term, the lexeme entered should ideally be applicable to more than just cereals, i.e. also to many flowers and relatively small plants, irrespective of whether they are a food source for humans. \n* Follow common usage and basic vocabulary.  Strict technical and biological classification criteria are not necessarily relevant — on this, see also the definitions for the separate IE-CoR meanings tree, snake, wing and ant.  \n* Avoid terms that focus on seeds viewed specifically as a food source, to be ground into flour or otherwise eaten.  \n* Avoid terms closer to English _nut_, relatively larger and viewed as a food source.\n* Avoid terms specific to the stony cores of fruit such as a peach or avocado.\n* The lexeme entered should be applicable to an individual seed, and thus will normally be a count noun in the singular form, e.g. French _graine_, not _semence_.  Only if the default noun in basic vocabulary is a non-count or collective noun, and specifying a single seed would require additional singulative morphology, should this non-count form be entered.\n* The target register is a neutral, default one:  avoid technical botanical or agricultural terms.\n\n
Heggarty-2019-170-105	139	sew	1457	SEW	To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.	He sewed the two pieces of cloth together.	##### Illustrative Context\n_He **sewed** the two pieces of cloth together._\n\n##### Target Sense\n* The most generic verb for sew in the sense of using a needle to pass thread, repeatedly and alternatingly, through two or more pieces of cloth, in order to join them together, prototypically for clothing.  \n* The lexeme selected should be the default term that would be used, as in the illustrative context, for sewing articles of clothing, by hand with a needle, whether or not that term extends also to sewing by machine, and sewing other materials.\n* Avoid any additional, narrower terms specific to other contexts, including the medical procedure to close a wound with thread, i.e. English _stitch_.\n* The target sense is that of sewing to join existing pieces of cloth.  Avoid other terms with more specific and/or different senses of sewing to repair clothes (e.g. _darn_), to actually create new fabrics from ‘threads’ (e.g. _knit_, _weave_), or looser terms for the overall process of making clothes (e.g. _tailor_).\n* The target sense is the literal one that involves using a needle, thread and cloth.  Avoid additional lexemes that are predominantly figurative extensions to senses of bringing together, alternating movement, etc..\n\n
Heggarty-2019-170-106	140	sharp	1396	SHARP	Having the ability to cut easily.	A sharp knife cuts better than a blunt one.	##### Illustrative Context\n_A **sharp** knife cuts better than a blunt one._\n\n##### Target Sense\n* The default term, typically adjectival, for the good cutting ability of a knife or other cutting blade.  The basic antonym of blunt (used of blades predominantly in UK English) or dull (in US English).  \n* The target sense is that of **cutting ability of a blade, not the piercing ability of a point**.  Some languages use the same basic lexeme as a cover term for both of these senses, e.g. English _sharp_ itself.  In other languages that have no single basic cover term, however, enter only the basic term for cutting ability.  The target term in French, for example, is thus _coupant_, not _pointu_.  \n* The target sense is the literal one, as applied to the blade of a knife when cutting physical objects.  In many languages, the same basic lexeme extends to other figurative senses, particularly to intensity of taste or pain, acuity of vision or intelligence, or precision.  Do not, however, enter additional lexemes that are specific to such senses, e.g. English _keen_, which is now generally outdated in the literal sense of _sharp_.\n* The term should be one from basic vocabulary, in a default, neutral register.  Avoid technical terms.\n\n\n
Heggarty-2019-170-107	141	short	1645	SHORT	Small in length by comparison.	This is a short rope; that is a long rope.	#### Illustrative Context\n_This is a **short rope**; that is a long rope._\n\n#### Target Sense\n* The basic opposite term to the one entered for IE-CoR long — see the precise definition for that meaning too.\n* The lexeme selected should be the most generic adjective for a relatively small distance between two points, prototypically the two ends of an object (on its longest dimension, usually perceived of horizontally rather than vertically).  \n* The target sense is **not** that of a short duration in time.  (That may also fall under the scope of the chosen lexeme, as it does in English, but do not choose a term like _brief_ that refers most basically to time rather than size.) \n* The target sense is also **not** that of short in stature.  I.e., do not give the opposite of ‘tall’, but the opposite of ‘long’.\n* Some languages may have different lexemes for ‘long’ depending on the type or form of referent:  rope, clothing, hair, snake/worm, and so on.  In such cases, the prototypical referent to consider is a long and thin object like a piece of rope or string.  As per the standard lexeme determination protocol, however, the lexeme selected should not be exclusive to that sense, but be the lexeme with most basic, broadest range that also includes that prototypical context.\n\n
Heggarty-2019-170-108	142	sing	1261	SING	To produce harmonious sounds with one's voice.	I heard him yesterday. He was singing.	##### Illustrative Context\n_I heard him yesterday. He was **singing**._\n\n##### Target Sense\n* The most generic verb for sing, in the prototypical sense and context of singing by a (single) person, with the voice, particularly by varying pitch, perceived as musical (and indeed often accompanied by music), and including actual words of speech.\n* As a generic term in the basic vocabulary, the same lexeme is in many languages extended also to birds and some animals (e.g. whales).  Avoid, however, additional lexemes that are specific to such contexts or senses.\n* Enter only the basic generic verb, neutral and of the default register, and avoid additional lexemes of any nature.\n    - Avoid terms specific to uses of the voice that are not strictly _singing_ in any of the respects in the prototypical definition above:  e.g. where the pitch variation is not primarily melodious and musical but either rhetorical or linguistic (e.g. _recite_, _intone_);  where the sound produced is seen only as a sound, and does not include actual words of language (e.g. _hum_);  and so on. \n    - Avoid terms specific to singing of a group of people such as a choir, and that would not be the default term for a single person singing.\n    - Avoid terms specific to a particular form, style and/or purpose of singing (e.g. ritual, religious or magical), such as _chant_.\n    - Avoid terms that include value judgements, e.g. as to how talented, pleasurable, musical the singing may be.\n    - Avoid lexemes specific to figurative extensions to noises produced not by people but by machines or even objects, such as crystal.
Heggarty-2019-170-109	143	sit	1416	SIT	To be in a position with the upper body upright and the legs resting.	He is sitting over there.	##### Illustrative Context\n_He is **sitting** over there._\n\n##### Target Sense\n* The most generic verb for sit, in contrast to both stand and lie, i.e. with the legs resting but the upper body upright.\n* The **stative** meaning, i.e. ‘(be) sit(ting)’, rather than change of state ‘sit _down_’, ‘take a seat’.  So the target term in Spanish, for example, is _estar sentado_, not _sentarse_;  in French _être assis_, not _s’asseoir_.\n* As the most generic term, the same basic lexeme will in many languages (as with English _sit_), be applicable to ‘sitting’ either on a raised object (chair, wall, rock, etc.) or directly on the ground.  If your language has no default cover term for both senses, but different basic vocabulary terms for each, then enter only the one for sitting on a raised object. \n* The target sense is the neutral, literal one of body posture, applying to people sitting, as opposed to standing or lying.  In many languages the most generic term may extend to (or etymologically have originated in) one or more other senses, but beyond the basic term do not enter any additional lexemes that add narrower, more specific senses of any kind, e.g.:\n    - Lexemes for being ‘in session’ or ‘held in’ a particular place, e.g. French _siéger_ (of a court, parliament, etc.).\n    - Lexemes that carry vaguer locative and/or figurative senses of _be in_ a place where one often sits, e.g. an office.\n    - Lexemes for specific, narrower extensions of _sit_, e.g. as being immobile, vulnerable, etc..\n* See also the definition of the contrasting IE-CoR meaning stand.\n\n
Heggarty-2019-170-110	144	skin	763	SKIN	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.	His skin was old and hard.	##### Illustrative Context\n_His **skin** was old and hard._\n\n##### Target Sense\n* The most generic term for skin as a part of the human body. \n* In many languages the same basic term can also be applied to the skins of (at least some) animals.  This is not in itself a concern, provided that the lexeme entered is the default word for the target sense here, i.e. human skin.  Avoid terms specific to other animals, however, which are not the default word for human skin, and which may even refer to particular uses of animal skins:  e.g. _hide_, _leather_. \n* Avoid narrower terms specific to the skin of a particular part of the body (e.g. the _scalp_ of the head), or of any particular colour or condition, e.g. tanned skin, burnt skin.\n* Avoid narrower terms specific to other parts of the outside of the body, even if perceived to be associated with the skin, e.g. _(finger)nails_, _lips_, body hair or animal _fur_, etc.. \n* Follow common usage and basic vocabulary.  Strict technical and biological classification criteria are not necessarily relevant — on this, see also the definitions for the separate IE-CoR meanings horn, wing, snake and ant.  Indeed, avoid specifically medical terminology, if different, e.g. _cutis_.  \n* The target sense is the literal body part.  Do not enter additional different lexemes specific to any figurative extensions of the English lexeme _skin_, e.g. as figurative for one’s _life_ or _luck_, or for any exterior, containing, surrounding or superficial layer, e.g. as formed on a liquid such as milk, soup, etc.. \n\n
Heggarty-2019-170-111	145	sky	1732	SKY	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.	There were white clouds in the blue sky.	#### Illustrative Context\n_There were white clouds in the blue **sky**._\n\n#### Target Sense\n* The most generic noun for the sky, as seen looking upwards overhead, in the sense of effectively a ‘place’, space or region of the environment where (or ‘under which’) humans live.\n* The target sense includes particularly a vertical dimension to this space, often seen as where clouds circulate, or that mountains rise towards.\n* The target sense is often also seen as the space where birds fly (up to) -- but avoid terms specific to the sense of ‘air’ as a form of very dispersed matter (rather than a space) that can be breathed in and perceived as wind, dampness, etc..\n* Similarly, the sky is often also perceived of as where stars can be seen, but avoid terms specific to the different sense of (outer) space. \n* Select the most generic term for the sky as a ‘place’, preferably a term that can be applied irrespective of time, light and weather:  i.e. the sky as the place perceived both as blue (or grey with clouds!) during the day, and as black at night.  \n* Avoid narrower terms with the inherent additional sense of day or daylight, or specific to just the night sky – unless a language has no common single term applicable to sky both during the day and at night.  In that case, select the most basic lexeme applied to the sky during the day.\n* Select the default, neutral term, avoiding lexemes specific to given registers, e.g. literary _firmament_.\n* Avoid technical and scientific terms , e.g. _atmosphere_, _ether_.\n* Avoid terms with specific overtones of weather, e.g. thundery sky, heavy sky. \n* Avoid terms with narrower additional connotations of a perceived specific shape of the ‘arc’ or ‘vault’ of the sky. \n* Avoid religious terms, e.g. _heaven(s)_, where different.\n
Heggarty-2019-170-112	146	sleep	1585	SLEEP	To rest in a state of decreased consciousness and reduced metabolism.	He is sleeping in the house.	##### Illustrative Context\n_He is **sleeping** in the house._\n\n##### Disambiguation\nThe intransitive **verb* _(to) sleep_, not the noun _sleep_.\n\n##### Target Sense\n* The most generic verb for sleep, as the basic antonym of ‘being awake’, and which must be applicable to a prototypical sense defined as follows:  the habitual sleeping by humans, during the night, for several hours as the main rest period during the daily cycle, in a natural (not induced) state of not being conscious, and lying down (typically in some form of bed). \n* The target sense is the stative one, for the state of being asleep, not other senses such as a change of state or inchoative _fall asleep_.\n* Avoid narrower lexemes that specifically intensify or qualify particular forms or duration of sleep, e.g. _snooze_, _doze_, _nod off_, etc..  \n* The target register is the most neutral one:  avoid terms that are literary, poetic (e.g. _slumber_), slang (e.g. French _roupiller_), or technical, medical terms.\n* Avoid terms specific to unconsciousness not through natural sleep in the daily cycle, but induced medically or because of injury or illness (anaesthesia, coma, etc.).\n* The target sense is the literal one, as in the prototypical context as defined above.  Avoid other, additional lexemes that have predominantly figurative senses, e.g. sleep as imagery for dreaming, rest, being unconscious, unresponsive or inattentive, as a euphemism for _being dead_, etc.. \n* The target sense is for sleeping by people, although in many languages the preferred generic word may, as with English _sleep_, be applicable to animals too. This is not a concern, provided that the lexeme entered is the default word for humans sleeping. Avoid any lexeme specific to the sleeping of animals, however.\n\n
Heggarty-2019-170-113	147	small	1246	SMALL	Not large or big; small in size.	This is a small stone. That is a big stone.	#### Illustrative Context\n_This is a **small** stone. That is a big stone._\n\n##### Target Sense\n* The most generic term, typically adjectival, for small size in an unspecified dimension.  The basic, default antonym of big. \n* The basic term will generally be applicable very widely, but must be applicable at least to inanimate objects, as in the illustrative context.  \n* Avoid terms that only or predominantly refer to the size of people.\n* Avoid terms specific to a particular dimension like height, width or girth:  i.e. avoid terms such as _short_, _narrow_ or _thin_.  \n* Avoid intensifying terms stressing particular smallness, e.g. _tiny_, _minute_. \n* Many languages have a range of terms in this general semantic field, e.g. English _small_ (the target) but also _little_.  Select only the default, most neutral term.  To help identify this, use the standard tests in the general IE-CoR guidelines, such as:\n    - Which lexeme is most used in wh- questions:  e.g. English _How **small** is it?_, more neutral and normal than _How **little** is it?_\n    - Which lexeme has the fullest and most normal paradigm:  e.g. English _small**er**_, _small**est**_ are normal, whereas _little**r**_, _little**st**_ are considerably more marked.\n* In particular, enter the most neutral term, free from value judgements.  In particular, the target lexeme should not inherently bear affective and diminutive senses of endearing, as present in most uses of English _little_ rather than the more neutral default lexeme _small_.  \n* Enter a full (adjective) word form, not an affix.  Many languages use diminutive affixes just as widely, if not more so, than an adjectival root for _small_.  Nonetheless, these affixes also typically have additional affective senses, so are often not as widely used in the neutral, value-free target sense for IE-CoR.  Enter instead the full word form that is most neutral in this sense, as would be used in the illustrative sentence.  \n* See also the definition for the IE-CoR meaning big.  
Heggarty-2019-170-114	148	smell	1586	SMELL (PERCEIVE)	To perceive the presence of molecules in the air by inhaling them through the nose.	I (can) smell smoke.	#### Illustrative Context\n_I (can) **smell** smoke._\n\n#### Target Sense\n* **Perceiving** an odour, by a human, through the nose.  \n* **Not** emitting an odour, smelling _of_ something, e.g. a flower.  So not as in _the food smells good_.  \n* The **transitive** verb (form) used where the subject of the verb is the person who perceives the odour, while that odour, or the substance or thing emitting it, is the object.\n* Some languages (e.g. Slavic) have different verbs depending on whether the human subject is taken as either the experiencer or the agent (the same contrast that English itself has for other perception meanings such as _see_ vs. _look_ or _hear_ vs. _listen_).  In such languages, select the verb form where the human subject is **experiencer, not agent**, who perceives the odour passively, not actively and intentionally 'sniffing' for it.  So not as in _she knelt down and smelt the flowers_.   \n* Some languages do not have a specific verb uniquely for perceiving odours through the nose, as distinct to perceiving by other senses such as taste or touch, and so on, and use a more general ‘sense’ verb instead, e.g. French _sentir_ (for English _smell_ and _feel_).  In such languages, just select that more generic lexeme if it also covers the target sense here, as per the general IE-CoR policy.\n
Heggarty-2019-170-115	149	smoke	778	SMOKE (EXHAUST)	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.	I could see the smoke from the fire.	##### Illustrative Context\n_I could see the **smoke** from the fire._\n\n##### Disambiguation\n* The **noun** _smoke_, not the verb _to smoke_.\n\n##### Target Sense\n* The most generic term for smoke in the prototypical sense of the grey smoke that rises from a fire of dry wood (as in the illustrative context).\n* The most basic, generic lexeme will typically be applicable much more widely, but do not select narrower lexemes _specific_ to different contexts, i.e. avoid terms such as _exhaust_, or for specific types of ‘smoke’, e.g. thick or acrid smoke from the burning of plastics, specifically tobacco smoke, etc..\n* Not to be confused with _steam_, i.e. the vapour of evaporating water — unless a language (unusually) has as its only most basic term a lexeme that covers _steam_ as well as _smoke_.\n* Not to be confused with the separate IE-CoR meaning ash, nor with _soot_ (as a solid), _gas_, _cloud_, etc..\n* Select the basic term in the default register:  avoid any technical or scientific definitions or terms.\n* Select the term for the literal meaning of smoke rising from a fire.  Avoid terms specific to narrower or figurative extensions, e.g. terms that focus on smoke as an indication of danger, pollution, for cooking, or an opportunity to confuse, hide, escape, or signal messages.\n\n\n
Heggarty-2019-170-116	150	smooth	1234	SMOOTH	Not rough; having a surface texture that lacks friction.	He picked a smooth stone from the river.	##### Illustrative Context\n_He picked a smooth stone from the **river**._\n\n##### Target Sense\n* The most generic adjective for smooth in the sense of the quality of a surface as particularly even, without even small protuberances, such that the hand can glide over it easily (often, even pleasantly).  The default antonym of rough, in the same context.\n* Many languages distinguish various basic lexemes depending on the nature of the surface in question.  In such cases, enter the lexeme that would be most normal in the prototypical case of a stone, as in the illustrative context.  Do not enter additional, narrower lexemes specific to other contexts, e.g. for a person’s skin.  \n* Do not confuse with the meaning ‘flat’ or ‘level’.  The target sense is not about a horizontal plane, indeed a smooth stone in a river, as in the illustrative context, is typically roundish in shape.  A stone certainly does not have to be flat in order to be smooth.\n* Do not confuse with the different meaning ‘soft’, i.e. not resistant to the touch, and which can be compressed.  The action to determine smoothness is that of moving the hand to run it over a surface, not poking or pressing to try to indent that surface.  The lexeme entered must be the basic term applied also to hard, firm surfaces such as a stone, as in the illustrative context. \n* Do not confuse with the different meaning ‘slippy’.  The target sense here for ‘smooth’ is just that of evenness and lack of obstacles, usually seen as a pleasant perception and a desirable quality.  The target is not the sense of (in)ability to keep a grip on a surface, i.e. _slippy_, often perceived as an unpleasant sensation or undesirable quality.  Note the distinction that a smooth stone is by no means necessarily slippy, and may become so only because of water or oil top of its surface, rather than the smoothness of that surface itself.   \n* In many languages ‘smooth’ is most often seen as something positive and pleasant, and the basic lexeme can have this sense in appropriate contexts (the majority).  Do not, however, enter additional lexemes that inherently and inescapably bear clear value judgements.  The term entered should be applicable also in contexts where smoothness is not actually desired, e.g. _it’s too smooth, we need something rougher_.\n* The target sense is the literal one, prototypically of a stone in the hand.  Many languages extend the same lexeme to figurative uses, but do not enter additional lexemes limited to figurative senses in movement, appearance, perceived sophistication, and so on:  e.g. _slick_, _shiny_, _glossy_, _sleek_, etc.. 
