ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
1179	次女	じじょ	second daughter	iraṇṭavatu makaḷ	இரண்டவது மகள்	second fille	alibnatu t̠t̠āniyah	cìnǚ	die zweite Tochter	dvitīya putrī	anak perempuan kedua	dokhtar-e-dovvm	вторая дочь	segunda hija	binti wa pili
1180	末っ子	すえっこ	last one(?)/youngest child	kaṭaicip piḷḷai	கடைசிப் பிள்ளை	dernier enfant, dernière enfant	alibnu l'aṣġar	lǎoshēng'ér, lǎoshēngnǚ	das jüngste kind	antim baccā	anak bungsu	ākharīn bachcheh	младший сын, младшая дочь 	hijo menor	mtinda mimba, mtoto wa muisho
1181	継子	ままこ	stepson/stepdaughter	vaḷarppu makan̠/vaḷarppu makaḷ	வளர்ப்பு மகன்/வளர்ப்பு மகள்	beau-fils, belle-fille	rabīb, rabībah	jìzǐ, jìnǚ	Stiefsohn, Stieftochter,???	saotēlā putra	anak tiri	nā-pesarī, nā-dokhtarī	пасынок, падчерица	hijastro(a)	mtoto wa kambo
1182	孤児	こじ	orphan	an̠ātai	அனாதை	orphelin(e)	yatīm	gūér	Waise	saotēlī putrī	anak jatim piatu	yatīm	сирота	huérfano(a)	yatima, mtoto yatima
1183	兄嫁	あによめ	elder brother's wife	aṇṇi	அண்ணி	femme du frére aîné 	zawjatu l'aḫ	sǎoz	Frau des älteren Bruders	baṛē bhāī kī??? patnī	kakak ipar	zan-e-berādar	жена старшего брата	cuñada	wifi, shemeji
1184	曾孫	ひまご	great-grandchild	koḷḷup pēran̠, koḷḷup pētti	கோள்ளுப் பேரன், கோள்ளுப் பேத்தி	arrière-petit-fils, arrière-petite-fille	ibnu ḥafīd, 'ibnatu ḥafīd	zēngsūn	Urenkel	parpōtā, parpōtī	tjitjit	natījeh	правиук, правнучка	bisnieto(a)	kijukuu
1185	子孫	しそん	descendant/offspring	kul̠antaikaḷ	குழந்தைகள்	descendant(e), postérité	d̠urrīyah, nasl	zǐsūn	Nachkommenschaft	santān	keturunan	oulād, nasl	потомство	descendiente	dhuria
1186	知人、知合い	ちじん、しりあい	acquaintance	terintavar	தேரிந்தவர்	connaissance	maʿrifah	shóurén, rènshiderén	Bekannte	paricay	kenalan	āshenā	знакомый	conocido(a)	rafiki, mtu (u)mjuaye
1187	顧客	おとくい、こきゃく	customer/client	vāṭikkaiyāḷar	வாடிக்கையாளர்	client(e)	zabūn	gùkè	Kunde	grāhak	langganan	moshtarī	покупатель, клиент	cliente	mnunuaji wa daima, kastama
1188	来客	らいきゃく	guest/visitor	viruntāḷi	விருந்தாளி	visiteur(se), hôte(sse)	ḍayf, zā'ir	kèrén	Gast	darshak	tamu	mehmān	гость	muésped, visita	mgeni
1189	民族、種族	みんぞく、しゅぞく	tribe/race	in̠am, kul̠u, pal̠aṅkuṭi makkaḷ	இனம், குழு, பழங்குடி மக்கள்	race, tribu	qabīlah, 'ummah	mínzú	Volk, Rasse	rāṣṭra	bangsa	qabīleh, nezhād	нация, народ	raza, tribu	kabila
1190	国民	こくみん	nation	nāṭṭavar	நாட்டவர்	nation	šaʿb	guómín	Nation	lōg	rakjat, warganegara	quom, mellat	народ, нация	nación, pueblo	watu wa taifa, wananchi
1191	外国人	がいこくじん	foreigner	veḷi nāṭṭavar	வேளி நாட்டவர்	étranger(ère)	ajnabī	wàiguórén	Ausländer	vidēshī	orang asing	kharejī	иностранец	extranjero(a)	mgeni wa nchi ya nje
1192	住民	じゅうみん	inhabitant	vacippavan̠	வசிப்பவன்	habitant(e)	sākin	jūmín	Einwohner	niwāsī	penduduk	sāken	житель, население	habitante	mwenyeji, mkaazi
1193	人民、民衆、大衆	じんみん、みんしゅう、たいしゅう	people	makkaḷ	மக்கள்	peuple	šaʿb	rénmín	Volk 	jantā	rakjat 	ahl, mardom	народ 	pueblo	watu, raia
1194	君主	くんしゅ	monarch/sovereign	aracan̠/araci	அரசன்/அரசி	monarque, souverain(e)	ḥākim	jūnzhǔ	Monarch	rājā	radja	pādshāh	монарх	monarca, soberano	mfalme, kingi
1195	皇帝	こうてい	emperor	cakkaravartti	சக்கரவர்த்தி	empereur	imbirāṭūr	huángdì	Kaiser	samrāṭ	kaisar, maharadja	emperatūr, shāhinshāh	царь, император	emperador	mfalme 
1196	女王	じょおう	queen	rān̠i	ரானி	reine	malikah	nǚwáng	Königin	rānī	ratu	malekeh	королева	reina	malkia, kwini
1197	王女	おうじょ	princess	iḷavaraci	இளவரசி	princesse	amīrah	wángfēi	Prinzessin	rājpatnī	puteri	shāh-dokht	королева, княгиня	reina	mke wa mfalme
1198	皇后	こうごう	empress	cakkaravarttin̠i	சக்கரவர்த்தினி	impératrice	imbirāṭūrah	huángdòu	Kaiserin	mahārānī	permaisuri	shāh-bānū, malekeh	императорица	emperatriz	mke wa mfalme
1199	大統領	だいとうりょう	president	jan̠ātipati	ஜனாதிபதி	président	ra'īs	zǒngtǒng	Präsident	raṣṭrapati	présidén	ra'īs	президент	presidente	rais
1200	奴隷	どれい	slave	aṭimai	அடிமை	esclave	ʿabd	núlì	Sklave	dās	hamba	bandeh	раб	esclavo(a)	mtumwa
1201	患者、病人	かんじゃ、びょうにん	patient	nōyāḷi	நோயாளி	malade, patient(e)	marīḍ	bínghào, bíngrén	der (die) Kranke	rōgī	pasién	bīmār, marīz	пациент, больной	enfermo(a)	mgonjwa
1202	死人	しにん	the dead	irantavar	இரந்தவர்	mort(e)	mayyit	sǐrén	Tote	mritak	orang mati	mordeh	мёртвый, умерший	muerto(a)	maiti, mfu, kifo
1203	僧	そう	priest/monk	cāmiyār	சாமியார்	prêtre, bonze	kāhin, nāsik	sēngrén, héshàng	Priester	pujārī	biku	mollā, kashīsh, rāheb	духовное лицо, священик	sacerdote, monje	kasisi
1204	大臣	だいじん	minister	amaiccar	அமைச்சர்	ministre	wazīr	dàchén, bùzhǎng	Minister	mantrī	menteri	vazīr	министр	ministro	waziri
1205	首相	しゅしょう	premier/prime minister	pirata mantiri	பிரத மந்திரி	premier ministre	ra'īsu lwuzarā'	shǒuxiàng	Premierminister	pradhān mantrī	perdana menteri	nakhost vazīr	премьер-министр	primer ministro	waziri mkuu
1206	地主	じぬし	land-lord	nilakkilār	நிலக்கிலார்	propriétaire, terrien(ne)	ṣāḥibu l'amlāk	dìzhǔ	Gutsbesitzer	jamīndār	tuan tanah	mālek	помещик	terrateniente	mwenye ardhi
1207	農家	のうか	farm-house	paṇṇai	பண்ணை	ferme	usratu zzirāʿah	nóngjiā	Bauernhaus	gāōn ka griha	rumah petani	kolbeh-ye-rūstāī	крестьянский двор	alquería	nyumba ya mkulima
1208	農民	のうみん	peasant/peasantry/farmer	virasāyi	விரஸாயி	paysan(ne), fermier(ère)	fallāḥ, muzāriʿ	nóngmín	Bauer 	kisān	petani	keshāvarz	крестьянин, мужик	labrador, agricultor(a)	mkulima
1209	漁師	りょうし	fisherman	mīn̠ piṭipparan̠	மீன் பிடிப்பரன்	pêcheur(se)	ṣayyādu samak	yúfū	Fischer	machuā	nelajan	māhī-gīr	рыбак	pescador(a)	mvuvi
1210	猟師	りょうし	hunter	vēṭṭaiyāṭupavan̠	வேட்டையாடுபவன்	chasseur(se)	ṣayyād	lièrén	jäger	shikārī	pemburu	shekārchī	охотник	cazador(a)	mwindaji
1211	木樵	きこり	woodcutter	vir̠aku veṭṭi	விறகு வேட்டி	bûcheron	ḥaṭṭāb	fámùgōngrén	Holzhauer, Holzfäller	lakaṛhārā	penebang kaju	hīzom shekan	дровосек	leñador(a)	mchanja kuni
1212	羊飼い	ひつじかい	shepherd	āṭṭiṭaiyan̠	ஆட்டிடையன்	berger(ère)	rāʿī	mùyángde	Schäfer	gaṛēriyā	gembala	chūpān	пастух	pastor(a)	mchungaji wa kondoo
1213	牛飼い	うしかい	cowherd	kōl̠ai	கோழை	bouvier(ére)	baqqār	fàngniúde	Rindhirte	carwāhā	gembala lembu	gāv-charān	пастух	vaquero(a)	mchungaji wa ng'ombe
1214	水夫	すいふ	sailor	mālumi	மாலுமி	marin, matelot	baḥḥār	shuǐshǒu	Matrose, Seemann	nāvik	pelaut, kelasi	mallāh	норяк, матрос	marinero	baharia
1215	警官、巡査	けいかん、じゅんさ	policeman/constable	kāval kārar	காவல் காரர்	agent, policier(ère)	būlīs ʿaskarī, šurṭī	jǐngchá, xúnjǐng	Polizist	pulis-karmacārī, sipahī	agén polisi	polīs, pāsbān	полицейский, милиционер	alguacil, policía	askari polisi
1216	番人	ばんにん	guard/watchman	kāvalāḷi	காவலாளி	gardien(ne), garde	ḥāris, bawwāb	jǐngwèiyuán	Wache	caokīdār	pengawal	pāobān	сторож	guardia	askari, mlinzi
1217	下男	げなん	servant	paṇiyāḷ	பணியாள்	domestique, valet	ḫādim	yòngren	Knecht	naokar	djongos	noukar	слуга	sirviente criado	mtumishi, boi
1218	女中、下女	じょちゅう、げじょ	maid	vēlaikkāri	வேலைக்காரி	servante, bonne	ḫādimah	nǚyòngren	Mädchen, Hausmädchen,???	naokarānī	babu	kolfat	служанка	criada, sirvienta	mtumishi wa kike
1219	乞食	こじき	beggar	piccaikkāran̠	பிச்சைக்காரன்	mendiant(e), gueux, gueuse	sā'il	huàz	Bettler	bhikshu	pengemis	gadā	нищий	mendigo(a)	mwombaji, maskini
1220	軍人、武士	ぐんじん、ぶし	warrior/soldier	pōr vīran̠	போர் வீரன்	militaire, soldat, guerrier	jundī ʿaskarī	jūnrén	Soldat, Krieger	sipāhī	pradjurit	sarbāz	военный, воин	militar, guerrero	mwanajeshi, askari jeshi
1221	士官、将校	しかん、しょうこう	officer	atikāri	அதிகாரி	officier	ḍābiṭ	jūnguān	Offizier	aphisar	perwira	afsar	офицер	oficial	afisa ya kijeshi
1222	兵士、兵卒、兵隊	へいし、へいそつ、へいたい	soldat	cippāy	சிப்பாய்	soldier	jundī ʿaskarī	bīng, bīngshì	Soldat 	sainik	soldadu	sarbāz	красноармеец, солдат	soldado	askari jeshi, mwanajeshi
1223	長、頭、首領	ちょう、かしら、しゅりょう	head/chief	talaimai	தலைமை	chef	ra'īs	shǒuzhǎng, zhǔxí	Chef	adhyaksha	kepala, sép, pemimpin	sar 	глава, директор	jefe, caudillo	mzee, mkuu, jumbe, chifu
1224	使い、使いの者	つかい、つかいのもの	messenger	tūtan̠	தூதன்	messager(ère)	rasūl	shǐzhě	Bote	dūt	pesuruh, kurir	qāsed	посланец	mensajero(a)	mjumbe
1225	故郷、郷里	こきょう、ふるさと、きょうり	home/native land	tāynāṭu	தாய்நாடு	pays natal	waṭan, mawṭin	jiāxiāng	Heimat	janamsthān	kampung halaman	vatan	родина	tierra nativa, pueblo natal	utani
1226	外国	がいこく	foreign (country)	veḷināṭu	வேளிநாடு	(pays) étranger	ḫārij	wàiguó	Ausland	vidēsh 	negeri asing	khārejeh	иностранное государство	extranjero	nchi ya kigeni, ugeni,
1227	首府、首都	しゅふ、しゅと	capital	talai nakaram	தலை நகரம்	capitale	ʿāṣimah	shǒudū	Hauptstadt	rājdhānī	ibu negeri	pāyetakht	столица	capital	mji mkuu
1228	州	しゅう	state/province	mānilam	மாநிலம்	province 	wilāyah	zhōu, shěng	Provinz	pradēsh	propinsi	ostān	область	provincia, estado	wilaya, jimbo
1229	県	けん	county/prefecture	nāṛu/māvaṭṭam/kōṭṭam/vaṭṭam	நா{ர்௰}உ/மாவட்டம்/கோட்டம்/வட்டம்	préfecture, département	muqāṭaʿah	xiàn 	Bezirk	prānt	kabupatén	shahrestān	(губерния), префектура	prefectura, departamento	mkoa, lokesheni
1230	郡	ぐん	district/county	māvaṭṭam	மாவட்டம்	sous-préfecture	mudīrīyah, 'iqlīm	jùn	Kreis	jilā	kewédanaan	bakhsh	(губерния), район	distrito	mtaa
1231	市	し	city	nakaram	நகரம்	cité	madīnah	shì	Stadt	nagar	kota	shahr 	город	ciudad	mji
1232	日本	にっぽん	Japan	jappān̠	ஜப்பான்	Japon	Alyābān	Rìběn	Japan	Jāpān	Djepang	zhāpon	япония	Japón	Japan, Japani, Ujapani
1233	社会	しゃかい	society	camūkam	சமூகம்	société	mujtamaʿ	shèhuì	Gesellschaft	samāj	masjarakat	ejtemā`	общество	sociedad	chama, jumuiya
1234	天国	てんごく	Heaven	corkkam	சோர்க்கம்	paradis	firdūs	tiānguó	Himmel	svarga	surga	behesht	рай	cielo	pepo, mbingu
1235	地獄	じごく	hell	narakam	நரகம்	enfer	jahannam	dìyù	Hölle	narak	neraka	jahannam	ад	infierno	ahera, jahanum
1236	教会	きょうかい	church	kōyil	கோயில்	église	kanīsah	jiàohuì	Kirche	girjā	gerédja	kelīsā	церковь	iglesia	kanisa
1237	事務所	じむしょ	office	aluralakam	அலுரலகம்	bureau, office	maktab	bànshìchù	Büro	kāryālaya	kantor	daftar	контора	oficina	afisi
1238	会社	かいしゃ	company/firm	kampan̠i	கம்பனி	compagnie, société, firme	šarikah	gōngsī	Firma	kampanī	perséroan, maskapai	sherkat	фирма, комипания	compañia, sociedad, firma	kampuni
1239	銀行	ぎんこう	bank	pēṅk	பேங்க்	banque	bank	yínháng	Bank	baink	bank	bānk	банк	banco	benki
1240	工場	こうじょう	factory	tol̠ir̠cāḷai	தோழிற்சாளை	usine	maṣnaʿ	gōngchǎng	Fabrik	kārkhāna	paberik	kārkhāneh	завод, фабрика	fábrica	kiwanda, karakana
1241	駅、停車場	えき、ていしゃじょう	station	nilaiyam	நிலையம்	station, gare	maḥaṭṭah	chēzhàn	Bahnhof	sṭēshan	setasiun	īstgāh	вокзал, станция	estación	stesheni ya relwe
1242	停留所	ていりゅうじょ	stop	nir̠uttumiṭam	நிறுத்துமிடம்	station, arrêt	maḥaṭṭah	chēzhàn	Haltestelle	sṭōp	perhentian	īstgāh	остановка	parada	kituo
1243	旅館、ホテル	りょかん、ホテル	hotel	cattiram/lāṭi/hōṭṭal	சத்திரம்/லாடி/ஹோட்டல்	hôtel	funduq, 'ūtīl	lǚguǎn, fàndiàn	Hotel	hōṭal	hotél	mehmān-khāneh	гостиница, отель	hotel	hoteli
1244	病院	びょういん	hospital	āspattiri	ஆஸ்பத்திரி	hôpital	mustašfā	yīyuàn	Hospital	aspatāl	rumah sakit	bīmārestān	больница	hospital	hospitali
1245	劇場	げきじょう	theatre	tiraiyaraṅku	திரையரங்கு	théâtre	masraḥ	jùchǎng	Theater	rang-bhawan	panggung	teātr	театр	teatro	nyumba ya kuchezea michezo
1246	役所、官庁	やくしょ、かんちょう	government office	aracu aluvalakam	அரசு அலுவலகம்	bureau gouvernemental	maktab ḥukūmī	jīguān	Amt, Behörde	sarkārī kāryālaya	kantor	edāreh	государственное уцреждение	oficina gubernamental	afisi ya serikali
1247	警察署	けいさつしょ	police station	kāval nilaiyam	காவல் நிலையம்	bureau de police	markazu ššurṭah	jǐngchájú	Polizeiwache	thānā	kantor polisi	kalāntarī	милиция, полиция, отделение милиции	cuartel de policía	stesheni ya polisi
1248	税関	ぜいかん	custom house	cuṅka aluvalakam	சுங்க அலுவலகம்	douane	jumruk	hǎiguān	Zollamt	jakāt-kāryālaya	kantor doané	gomrok	таможня	aduana	forodha, afisi ya kodi
1249	郵便局	ゆうびんきょく	post-office	tapāl nilaiyam	தபால் நிலையம்	bureau de poste	maktabu lbarīd	yóujú	Postamt	ḍāk-ghar	kantor pos	post-khāneh	почта, почтовое отделение	correo, casa de correo	posto-afisi
1250	裁判所	さいばんしょ	court	nīti man̠r̠am	நீதி மன்றம்	tribunal, cour de justice	maḥkamah	fǎyuàn	Gericht	nyāyālaya	pengadilan	dādgāh	суд	tribunal, corte	korti
1251	軍	ぐん	military	iraṇuvam	இரணுவம்	militaire	qūwah ʿaskarīyah	jūnduì	Militär	sēnā	tentara	nezāmī	военный, войско	militar	majeshi ya vita
1252	元気	げんき	vigor	cakti	சக்தி	vigueur	našāṭ	jīngshen, huólì	Mut	ōj	kegiatan, keteguhan,	qovvat	бодрость, энергичность	vigor	nguvu
1253	気違い、狂気	きちがい、きょうき	insanity/madness	paittiyam	பைத்தியம்	folie, démence	junūn	diānkuáng	Wahnsinn	pāgalpan	gila	dīvānegī	сумашедствие	locura	wazimu, kichaa
1254	睡眠、眠り	すいみん、ねむり	sleep	tūkkam	தூக்கம்	sommeil	nawm	shuìmián	Schlaf	nīnd	tidur	khwāb	сон	sueño	usingizi
1255	気分	きぶん	mood/humour	man̠anilai	மனநிலை	humeur	mizāj, 'infiʿāl	xīnqíng, qíngxù	Stimmung	manōdashā	suasana hati	kholq, mezāj	настроение	humor	moyo, hali ya moyo
1256	満足	まんぞく	satisfaction	tirupti	திருப்தி	satisfaction	riḍā	mǎnyì	Befriedigung	santōṣ	kepuasan	razāyat` Khoshnūdī	удовольствие	satisfacción	radhi
1257	愛、恋愛	あい、れんあい	love	an̠pu	அன்பு	amour	ḥubb	ài, liànài	Liebe	prēm	tjinta	`eshq	любовь	cariño, amor	upendo
1258	教育	きょういく	education	kalvi	கல்வி	instruction, éducation,???	taʿlīm	jiàoyù	Erziehung	shikshā	pendidikan	farhang, ta(līm	образование, воспитание	enseñanza, instruccion	mafundisho, masomo
1259	習慣、癖	しゅうかん、くせ	habit/custom	pal̠akka val̠akkam	பழக்க வழக்கம்	habitude, coutume	ʿādah	xíguàn, píqi	Sitte, Gewohnheit,	ācār	kebiasaan	`ādat	привычка	costumbre, hábito	desturi, kawaida
1260	考え	かんがえ	thought/idea	cintan̠ai	சிந்தனை	pensée, idée	fikrah	zhúyì	Gedanke, Idee	vicār	pikiran	khiyāl, fekr	мнение, мысль	pensamiento, idea	mawazo, maoni
1261	思いつき	おもいつき	casual idea	tar̠ceyālāna eṇṇam	தற்சேயாலாந ஏண்ணம்	idée	talmīḥ	zhúyì	Einfall	sankēt	sindiran	tasavvor	идея, мысль, затея	ocurrencía, idea	kidoko
1262	工夫	くふう	device	tiṭṭam	திட்டம்	invention	ḥīlah	bànfǎ, shèjì	Erfindung	yukti	ichtiar	tadbīr	выдумка	invento	akili, busara
1263	占い	うらない	divination	jōsyam	ஜோஸ்யம்	divination	kihānah	zhānbǔ	Weissagung	shakun-vicār	ramalan	fāl-gīrī	предсказание, гаданье	adivinanza	kupiga bao, uramali, ramli
1264	間違い	まちがい	mistake/fault/error/wrong	tavar̠u	தவறு	faute, erreur	ḫaṭa', ġalaṭ	cuòwù	Fehler, Versehen, Irrtum	galatī	kesalahan	eshtebāh	заблуждение, ошибка	error, falta, equivocación	kosa
1265	失敗	しっぱい	failure	tōlvi	தோல்வி	insuccès	fašal	shībài	Fehler	viphaltā	kegagalan	nā-kāmī	неудача	fracaso, fresta	kosa, kushindwa
1266	規律	きりつ	order/discipline	kaṭṭuppāṭu	கட்டுப்பாடு	discipline, ordre	niẓām	guīlǜ	Ordnung, Vorschrift	sārvajanik vyavasthā	disiplin	nezām	дисциплина	disciplina	kanuni, kawaida, sheria
1267	憲法	けんぽう	constitution	araciyal caṭṭam	அரசியல் சட்டம்	constitution	dustūr	xiànfǎ	Verfassung	sanvidhān	undang-undang dasar	qānūn-e-asāsi(, mashrūtiyyat	конституция	constitución	sheria ya taifa
1268	法律	ほうりつ	law	caṭṭam	சட்டம்	loi	qānūn	fǎlǜ	Gesetz, Recht	vidhi	undang-undang	qānūn, hoqūq	закон	ley	sheria
1269	仕方、方法	しかた、ほうほう	manner/process/method/way	vitam	விதம்	manière, méthode, façon	uslūb, ṭarīqah, minhāj	bànfa, zuòfa, fāngfǎ	Methode, Weg	ḍhang	tjara	tarz	способ, метод, манера	manera, medio	njia, namna
1270	番号	ばんごう	number	eṇ	ஏண்	numéro	raqm	hàomǎ	Nummer	sankhyā	nomor	shomāreh	номер	número	hesabu, namba, nambari
1271	数字	すうじ	numeral/figure	eṇṇikkai	ஏண்ணிக்கை	chiffre	raqm, ʿadad	shùzì	Zahl, Ziffer	sankhyā	sangka	`adad	цифра	número cifra	tarakimu
1272	表	ひょう	list/table	aṭṭavaṇai	அட்டவணை	tableau, liste	qā'imah	biǎo	Liste	sūcī	daftar	jadval, fehrest	список	lista	orodha
1273	図	ず	figure	paṭam	படம்	figure	rasm	tú 	Bild	citra	gambar	shakl	фигура, рисунок, схема	figura	picha
1274	地図	ちず	map	uruvappaṭam	உருவப்படம்	carte geographique, atlas	ḫarīṭah	dìtú	Landkarte	nakshā	peta 	naqsheh	карта	carta, mapa, plano	ramani, mapu
1275	合図	あいず	signal/sign	kuṛiyīṭu	கு{ர்௰}இயீடு	signal, signe	išārah	xìnhào	Zeichen, Signal	sain 	isjarat	eshāreh	сигнал, знак	seña, señal	ishara
1276	電報	でんぽう	telegram/cable	tonti	தோந்தி	télégramme	barqīyah	diànbào	Telegramm	tār	kawat	telegrām	телеграмма	telegrama	simu
1277	電話	でんわ	telephone	tolaipēci	தோலைபேசி	téléphone	tilifūn	diànhuà	Telephon	ṭēlīphōn	tilpun	telefōn	телефон	teléfono	simu, telefoni
1278	ニュース	ニュース	news	ceyti	சேய்தி	nouvelles	aḫbār	xīnwén	Nachricht	samācār	warta berita	khabar	известия, новость	noticia	habari
1279	放送	ほうそう	broadcast	oliparappu	ஓலிபரப்பு	émission	)id̠āʿah	bōsòng, guǎngbō	Rundfunk	ākāshwāṇī	siaran	pakhsh	(радио) передача	emisión	redio
1280	噂	うわさ	rumour	vatanti	வதந்தி	rumeur	šā)iʿah	fēngshēng	Gerücht	kinwadantī	kabar angin	shāye(eh	слух	rumor	uvumi, fununu
1281	名声	めいせい	fame/reputation	nan̠matippu	நன்மதிப்பு	renom, réputation	šuhrah	míngwàng	Ansehen, Ruf, Ruhm	kīrti	nama harum	shohrat	известность, слава	fama	sifa
1282	署名	サイン、しょめい	signature	kaiyoppam	கையோப்பம்	signature	tawqīʿ, 'imḍā'	qiānmíng	Unterschrift	hastākshar	tandatangan	emzā	подпись	firma	sahihi, saini
1283	雑誌	ざっし	magazine	ceñcikai, ital̠	சேஞ்சிகை, இதழ்	revue, magazine	majallah	zázhì	Magazin, Zeitschrift	patrikā	madjalah	majalleh	журнал	revista	magazini
1284	辞書	じしょ	dictionary	akarāti	அகராதி	dictionnaire	qāmūs	cídiǎn	Wörterbuch	shabd-kōs	kamus	farhang	словарь	diccionario	kamusi
1285	カレンダー、暦	カレンダー、こよみ	calendar	nāṭkāṭṭi	நாட்காட்டி	calendrier	taqwīm	lì, rìlì	Kalender	tithi-patra	penanggalan	taqvīm	календарь	calendario	kalenda
1286	詩	し	poem/poetry	kavitai	கவிதை	poème, poésie	šiʿr	shī	Gedicht	kavitā	sjair	she(r	стихи, (поэма)	poema, poesía	mashairi
1287	物語	ものがたり	tale/story/narrative	katai	கதை	histoire, récit narration	hikāyah, qiṣṣah	gùshi	Geschichte, Erzählung	kathā	hikajat	qesseh	рассказ, повесть	hiistoria, cuento	hadithi, kisa
1288	諺	ことわざ	proverb/saying	pal̠amol̠i	பழமோழி	proverbe	mat̠al	yànyǔ	Sprichwort	kahāwat	peribahasa, pepatah	masal	пословица	proverbio	mfano ya maneno, methali
1289	謎	なぞ	riddle/mystery	viṭukatai	விடுகதை	énigme, devinette mystère	luġz	míyǔ	Rätsel	prōhēlikā	teka-teki	mo`ammā	зарадка	enigma	kitandawili
1290	写真	しゃしん	photograph	pukaippaṭam	புகைப்படம்	photographie, photo	ṣūrah šamsīyah, ṣūrah, fūtūġrāfīyah	zhàoxiàng	Photographie, Foto	chāyācitra	foto	(aks	фотография, фотограф	fotografía	picha, foto
1291	彫刻	ちょうこく	sculpture	cir̠pam	சிற்பம்	sculpture	naḥtu ttamāt̠īl	diāokè	Plastik	mūrti-kalā	ukiran	mūrti-kalā	скульптура	escultura	nakshi, mchoro, sanamu
1292	音楽	おんがく	music	icai	இசை	musique	mūsīqā	yīnyuè	Musik	sangīt	musik	mūsīqī	музыка	música	muziki
1293	口笛	くちぶえ	whistle	vicil	விசில்	sifflement	ṣafīr	chuīshāor	Pfeife	sīṭī	bunji siul	sūt	свисток	silbo	miunzi, mbinja
1294	演劇	えんげき	play	nāṭakam	நாடகம்	(pièce de) théâtre	tamt̠īl	xìjù	Spiel	nāṭak	sandiwara	drām	пьеса, театр, спектакль	teatro	mchezo wa kuiga
1295	映画	えいが	movie/cinema	tivaippaṭam	திவைப்படம்	cinéma, film	sīnimā	diànyǐng	Film	calcitra	bioskop	sīnemā	кино	cine, pelicula	sinema
1296	歴史	れきし	history	carittiram	சரித்திரம்	histoire	ta'rīḫ	lìshǐ	Historie, Geschichte	itihās	sedjarah	tārīkh	история	historia	historia
1297	運命、運、宿命	うんめい、うん、しゅくめい	destiny/fate	talairiti	தலைரிதி	fortune, sort, destinée	qaḍā)	mìngyùn, yùnqi, sùmìng	Geschick, Los, Schicksal	niyati	nasib	sar-navesht, taqdīr	участь, судьба, рок	fortuna, destino, suerte,	ajali, sudi
1298	幸福、幸せ	こうふく、しあわせ	happiness	makil̠cci	மகிழ்ச்சி	bonheur	saʿādah	xìngfú	Glück 	prasannata	kebahagiaan	khoshhālī	счастье	dicha, felicidad	heri, furaha, raha
1299	不幸	ふこう	misfortune	turatirṣṭam	துரதிர்{ஸ்௰}டம்	malheur	muṣībah	búxìng	Unglück	āpatti	kemalangan	bad-bakhktī	несчастье, беда	desgracia	bahati mbaya, msiba
1300	生活	せいかつ	life	vāl̠kkai	வாழ்க்கை	vie	ḥayāh	shēnghuó	Leben	jīvan	kehidupan	zendagī	жизнь	vida	maisha
1301	住居	すまい	residence	vacippiṭam	வசிப்பிடம்	résidence	maskin	zhùzhái	Wohnung, Wohnsitz	niwās 	kediaman	khāneh, manzel	жилище	residencia	nyumba, makao
1302	断食	だんじき	fast	paṭṭin̠i/uṇṇāviratam	பட்டினி/உண்ணாவிரதம்	jeûne	ṣiyām, ṣawm	juéshí	Fasten	upawās	puasa	rūzeh	пост	ayuno	mfungo
1303	朝食	ちょうしょく	breakfast	kālai un̠avu	காலை உனவு	petit déjeuner	faṭūr	zǎofàn	Frühstück	kalēvā	makan pagi, sarapan	sobhāneh	завтрак	desayuno	chakula cha asubuhi
1304	昼食	ちゅうしょく	lunch	matiya un̠avu	மதிய உனவு	déjeuner	ġadā'	wǔfàn	Mittag(s)essen	din ka bhōjan	makan siang	nāhār	обед	almuerzo	chakula cha adhuhuri
1305	夕食	ゆうしょく	supper/dinner	iravu un̠avu	இரவு உனவு	souper, dîner	ʿašā'	wǎnfàn	Abendessen	rāt ka bhōjan	makan soré	shām	ужин	cena	chakula cha jioni
1306	入浴	にゅうよく	bath/bathing	kuḷiyal	குளியல்	bain	istiḥmām	xǐzǎo	Bad	snān	mandi	hammām	принимать ванну	baño	kuoga, bafu
1307	性交	せいこう	sexual intercourse	puṇarcci	புணர்ச்சி	rapports sexuels	ittiṣāl jinsī	xìngjiāo	Geschlechtsverkehr	maithun	persetubuhan	jema(ble	половые сношения	coito	ngono
1308	儀式、式典	ぎしき、しきてん	ritual/rite/ceremony	val̠ipāṭu	வழிபாடு	cérémonie	iḥtifāl	yíshì, dǐanlǐ	Feierlichkeit, Zeremonie	sanakār	upatjara agama	marāsem	обряд, церемония	rito, ceremonía	sherehe
1309	婚礼、結婚式	こんれい、けっこんしき	marriage ceremony	kalyāṇac caṭanku	கல்யாணச் சடந்கு	mariage, noce	zifāt	hūnlǐ, hóngshì	Hochzeit	vivāh-sanskār	upatjara perkawinan	jashn-e-(arūsī	свадьба	boda	arusi
1310	祝い	いわい	celebration/festival	tiruvil̠ā	திருவிழா	célébration, fête	iḥtifāl	zhùhè, xǐshì	Glückwunsch, Fest, Feier	samārōh	selamatan	jashn 	поздравление	celebración	shangilio, pongezi
