NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
0528	bush dweller	habitant de la brousse, campagnard			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0529	move away, migrate	émigrer, déménager			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0530	country, ethnic area	pays			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0531	frontier (of ethnic area)	frontière (de pays)			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0532	town, city	ville			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0533	village	village	19.16	the village	5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0534	camp, encampment	campement			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0535	market (n)	marché			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0536	article of clothing, clothes	vêtement(s), habit(s)			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0537	wear clothes	porter des vêtements			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0538	dress (v)	s'habiller, se vétir			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0539	undress	se déshabiller			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0540	(be) naked	(être) nu			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0541	hat	chapeau			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0542	shirt	boubou	6.44	the shirt	5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0543	trousers	pantalon	6.48	the trousers	5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0544	loincloth	pagne, cache-sexe			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0545	robe (man's gown)	boubou			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0546	cloth worn by a woman	pagne (de femme)			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0547	baby sling	écharpe (pour porter bébé)			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0548	shoe, sandal	chaussure, sandale			5	2	1	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Clothing
0549	bead	perle	6.76	the bead	5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0550	string, thread (beads) (v)	enfiler (perles)			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0551	bracelet	bracelet	6.74	the bracelet	5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0552	necklace	collier	6.75	the necklace	5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0553	ankle ring, bangle	anneau de cheville			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0554	ring (finger)	bague, anneau (de doigt)			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0555	earring	boucle d'oreille	6.77	the earring	5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0556	pierce (ears)	percer les oreilles			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0557	labret, lip plug, lip disk	labret			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0558	plait, braid (hair)	tresser (les cheveux)			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0559	(facial) incision(s), tattoo(s)	scarification(s), tatouage(s)			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0560	cane, walking stick	canne			5	2	2	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Adornment and
0561	bathe, wash oneself	se laver			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0562	apply (ointment), besmear	s'enduire			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0563	wipe off (excreta)	s'essuyer (des excréments)			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0564	cut (hair)	couper les cheveux			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0565	shave (v)	se raser			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0566	razor	rasoir	6.93	the razor	5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0567	comb (n)	peigne			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0568	tooth stick, toothbrush	brosse à dents, frotte-dents en bois			5	2	3	HUMAN CIVILISATION	CLOTHING AND ADORNMENT OF BODY	Care for body
0569	food	aliments, nourriture	5.12	the food	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0570	meat	viande	5.61	the meat	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0571	fat	graisse			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0572	oil	huile	5.79	the oil	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0573	soup, broth	soupe			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0574	pap, mushy food	bouillie			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0575	bread	pain	5.51	the bread	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0576	crust (n)	croûte			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0577	flour	farine	5.55	the flour	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0578	salt	sel	5.81	the salt	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0579	breakfast	petit déjeuner	5.42	the breakfast	5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0580	evening meal	repas du soir			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0581	feast	fête			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0582	leftovers	les restes			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0583	spoil (food) (intr)	pourrir, se gâter (aliments)			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0584	mould (n)	moisissure			5	3	1	HUMAN CIVILISATION	FOOD AND DRINK	Food
0585	milk (n)	lait			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0586	curdled milk	lait caillé			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0587	alcohol (general)	alcool (général)			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0588	beer (traditional)	bière (traditionelle)			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0589	mead, honey beer	hydromel (bière de miel)			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0590	palm wine	vin de palme			5	3	2	HUMAN CIVILISATION	FOOD AND DRINK	Drink
0591	prepare (food to cook)	préparer (la nourriture)			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0592	cut (tr)	couper			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0593	cut open (fruit)	fendre, ouvrir avec un couteau (fruit)			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0594	slice	trancher			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0595	peel (v)	peler, éplucher			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0596	mix (v)	mélanger			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0597	stir	remuer			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0598	strain (food) (v)	passer, filtrer, égoutter			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0599	pound	piler	9.211	to pound	5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0600	grind	moudre			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0601	knead	pétrir	5.54	to knead	5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0602	pluck (feathers)	plumer, arracher les plumes			5	4	1	HUMAN CIVILISATION	FOOD PREPARATION	Kitchen preparation
0603	cook (v)	(faire) cuire, cuisiner			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0604	roast	rôtir			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0605	fry	frire			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0606	bake (in ashes)	faire cuire (dans les cendres)			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0607	(be) smoked	(être) fumé			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0608	boil (water), bubble up	(faire) bouillir (l'eau), bouillonner			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0609	ferment (alcohol) (v)	fermenter			5	4	2	HUMAN CIVILISATION	FOOD PREPARATION	Cooking
0610	cooking pot (earthenware)	marmite (en terre)			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0611	metal pot	pot (en métal)			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0612	pot (for water)	jarre (à eau)			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0613	ladle	louche			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0614	cooking stone	pierre de foyer			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0615	grinding stone	pierre à moudre			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0616	upper grinding stone	meule supérieure			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0617	lower grinding stone	meule inférieure			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0618	pestle, pounding stick	pilon			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0619	mortar, pounding pot	mortier			5	5	1	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Kitchen utensils
0620	plate	assiette	5.32	the plate	5	5	2	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Eating utensils
0621	bowl	bol, assiette creuse	5.33	the bowl	5	5	2	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Eating utensils
0622	cup	gobelet, coupe, tasse	5.35	the cup	5	5	2	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Eating utensils
0623	spoon (traditional)	cuillère (traditionelle)			5	5	2	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Eating utensils
0624	bag	sac			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0625	box	carton, boîte		the box	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0626	basket	panier, corbeille	9.76	the basket	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0627	bucket, pail	seau			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0628	calabash	calebasse			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0629	bottle	bouteille	23.56	the bottle	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0630	stopper, plug	bouchon			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0631	handle	poignée, manche, anse			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0632	pour	verser	9.35	to pour	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0633	spill (liquid) (tr)	renverser, répandre (un liquide)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0634	take out (from container)	enlever, sortir (d'un récipient)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0635	fill	remplir			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0636	(be) full	(être) plein			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0637	(be) empty	(être) vide			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0638	(be) open	(être) ouvert			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0639	open (tr)	ouvrir (une porte)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0640	close, shut (tr)	fermer (un carton, une porte)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0641	stop up	boucher			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0642	cover (v)	couvrir			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0643	uncover	découvrir			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0644	store (up)	garder, mettre en réserve, magasiner			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0645	bundle (n)	paquet, faisceau			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0646	heap (n)	tas			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0647	heap up	entasser			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0648	wrap up	envelopper			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0649	unwrap	déballer,défaire (paquet)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0650	pack (v)	emballer, empaqueter			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0651	strap (n)	courroie, sangle			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0652	string (n)	ficelle			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0653	rope	corde	9.19	the rope	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0654	knot	noeud	9.192	the knot	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0655	fasten, bind (load)	attacher, lier (un fardeau)			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0656	tie (knot)	detacher, dénouer			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0657	untie	detacher, dénouer	9.161	to untie	5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0658	tighten (tr)	serer			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0659	(be) tight	(être) serré			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0660	loosen	deserrer, relâcher			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0661	(be) loose, slack	(être) lâche, desserré			5	5	3	HUMAN CIVILISATION	DOMESTIC UTENSILS AND CONTAINMENT	Containers and containment
0662	compound, house	concession, maison			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0663	hut	case	7.13	the hut	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0664	wall	mur	7.27	the wall	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0665	door, doorway cover	porte			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0666	doorway	entrée, seuil			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0667	window	fenêtre	7.25	the window	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0668	roof	toit	7.51	the roof	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0669	beam, rafter	poutre			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0670	floor	plancher, sol	7.26	the floor	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0671	room	pièce (de maison)	7.21	the room	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0672	bedroom	chambre (à coucher)			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0673	kitchen	cuisine			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0674	entrance hut	case d'entrée			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0675	courtyard	cour			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0676	fence (n)	clôture			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0677	fence in (v)	clôturer			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0678	granary	grenier			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0679	well (n)	puits			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0680	bathing place	lieu de douche			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0681	latrine, toilet	latrine, toilette, lieu d'aisance			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0682	garbage dump	dépotoir, "poubelle"			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0683	garden	jardin	8.13	the garden	5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0684	shelter (n)	abri			5	6	1	HUMAN CIVILISATION	HABITATION HABITATION	Parts of a house
0685	build	construire, bâtir	9.44	to build	5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0686	mark out, peg out (ground)	délimiter, piqueter			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0687	mud block	brique (en argile)			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0688	thatch (n)	chaume			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0689	plaster (n)	crépissage, plâtre			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0690	lime, whitewash	chaux			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0691	paint (n)	peinture			5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0692	ladder	échelle	7.37	the ladder	5	6	2	HUMAN CIVILISATION	HABITATION HABITATION	Construction
0693	chair	chaise	7.43	the chair	5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0694	stool	tabouret, siege			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0695	wickerwork	vannerie			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0696	bed	lit	7.42	the bed	5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0697	mat	natte	9.77	the mat	5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0698	lamp, torch	lampe, torche			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0699	fan (n)	éventail			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0700	bell	cloche			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0701	ring (bell) (v)	sonner (une cloche)			5	6	3	HUMAN CIVILISATION	HABITATION HABITATION	Furniture
0702	act, do	faire, agir			5	7		HUMAN CIVILISATION	PROFESSIONS AND WORK	
0703	work (n)	travail			5	7		HUMAN CIVILISATION	PROFESSIONS AND WORK	
0704	mend, repair	réparer			5	7		HUMAN CIVILISATION	PROFESSIONS AND WORK	
0705	forge (n)	forge			5	7	1	HUMAN CIVILISATION	PROFESSIONS AND WORK	Smithing
0706	hammer	marteau	9.49	the hammer	5	7	1	HUMAN CIVILISATION	PROFESSIONS AND WORK	Smithing
0707	anvil	enclume	9.62	the anvil	5	7	1	HUMAN CIVILISATION	PROFESSIONS AND WORK	Smithing
0708	bellows	soufflet			5	7	1	HUMAN CIVILISATION	PROFESSIONS AND WORK	Smithing
0709	lump (clay, mud)	motte (d'argile)			5	7	2	HUMAN CIVILISATION	PROFESSIONS AND WORK	Pottery
0710	mould (pottery)	moule (poterie)			5	7	2	HUMAN CIVILISATION	PROFESSIONS AND WORK	Pottery
0711	potter's kiln	four de potier			5	7	2	HUMAN CIVILISATION	PROFESSIONS AND WORK	Pottery
0712	wood	bois	1.43	the wood	5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0713	cut down (tree)	abattre (un arbre)			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0714	log	bûche, rondin, bille			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0715	hollow out (log)	creuser, évider (rondin)			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0716	axe	hache			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0717	chop into pieces	découper, couper en morceaux			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0718	saw (n)	scie			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0719	saw (wood) (v)	scier			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0720	plank (n)	planche			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0721	knot (in wood)	noeud (dans le bois)			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0722	splinter, sliver (n)	écharde, éclat			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0723	chisel (n)	ciseau			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0724	nail (n)	clou, pointe			5	7	3	HUMAN CIVILISATION	PROFESSIONS AND WORK	Wood work
0725	sew	coudre	6.35	to sew	5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0726	needle	aiguille			5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0727	thread (n)	fil			5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0728	hem (n)	ourlet, bord			5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0729	pocket	poche	6.61	the pocket	5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0730	(be) torn	(être) déchiré			5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0731	weave	tisser	6.33	to weave	5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0732	cloth	tissu	6.21	the cloth	5	7	4	HUMAN CIVILISATION	PROFESSIONS AND WORK	Tailoring and weaving
0733	rag	chiffon			5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0734	broom	balai	9.38	the broom	5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0735	sweep	balayer	9.37	to sweep	5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0736	polish	polir, cirer			5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0737	wash (clothes, utensils)	laver (habits)			5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0738	draw water	puiser (de l'eau)	9.90	to draw water	5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0739	fetch (firewood)	chercher des fagots			5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0740	dig	creuser	8.22	to dig	5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0741	rubbish	ordures			5	7	5	HUMAN CIVILISATION	PROFESSIONS AND WORK	Domestic work
0742	cultivate, farm (v)	cultiver			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0743	field	champ	8.12	the field	5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0744	boundary (of field)	borne (d'un champ)			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0745	fertile soil	sol fertile			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0746	(be) barren (of land)	stérile, improductif (sol)			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0747	clear (land for planting)	défricher (la terre pour planter)			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0748	sow, plant	semer, planter			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0749	transplant	transplanter, repiquer			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0750	weed (v)	enlever des mauvaises herbes; sarcler			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0751	hoe (v)	biner			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0752	hoe (n)	houe, 'daba'			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0753	big hoe	grande houe			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0754	sickle	faucille			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0755	machete, cutlass	machette, coupe-coupe			5	8	1	HUMAN CIVILISATION	AGRICULTURE	Cultivation
0756	harvest season	moisson, récolte			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0757	harvest (maize) (v)	récolter (le maïs)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0758	harvest, dig up (yams)	récolter, déterrer (ignames)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0759	pick, pluck (fruit)	cueillir (fruit)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0760	harvest, collect (honey from hive)	récolter, recueiller (le miel)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0761	threshing-floor	aire de battage	8.35	the threshing-floor	5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0762	thresh, beat (grain)	battre (la céréale)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0763	winnow (n)	van			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0764	winnow, throw in air (grain) (v)	vanner			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
0765	shell (groundnuts) (v)	décortiquer (arachides)			5	8	2	HUMAN CIVILISATION	AGRICULTURE	Harvest
